transaction_id,product_id,quantity_change,type,timestamp,running_stock
TXN-006142,91-257-3672,-6,SALE,2025-11-25 08:58:20,135
TXN-012606,53-146-9979,-1,SALE,2025-11-25 09:00:20,57
TXN-019075,99-048-8310,-3,SALE,2025-11-25 09:00:20,109
TXN-021755,31-403-6234,-1,SALE,2025-11-25 09:01:20,108
TXN-005003,79-400-6216,-1,SALE,2025-11-25 09:02:20,71
TXN-014523,58-229-1358,-6,SALE,2025-11-25 09:02:20,102
TXN-003288,88-069-5486,-3,SALE,2025-11-25 09:03:20,69
TXN-017243,01-026-2772,-3,SALE,2025-11-25 09:03:20,113
TXN-012385,93-015-0811,-5,SALE,2025-11-25 09:04:20,101
TXN-018490,93-682-2069,-2,SALE,2025-11-25 09:08:20,151
TXN-016186,92-837-8839,-1,SALE,2025-11-25 09:09:20,85
TXN-016220,37-064-7275,-6,SALE,2025-11-25 09:10:20,86
TXN-015297,03-441-4252,-1,SALE,2025-11-25 09:12:20,33
TXN-000177,51-469-4611,-1,SALE,2025-11-25 09:14:20,161
TXN-003924,34-075-0371,-2,SALE,2025-11-25 09:14:20,163
TXN-015382,31-803-5001,-2,SALE,2025-11-25 09:14:20,101
TXN-009647,94-658-4945,-5,SALE,2025-11-25 09:17:20,131
TXN-014197,01-050-2246,-4,SALE,2025-11-25 09:18:20,154
TXN-000947,43-693-2092,70,RESTOCK,2025-11-25 09:19:20,157
TXN-022375,28-146-2641,-3,SALE,2025-11-25 09:20:20,70
TXN-004763,62-777-6010,-3,SALE,2025-11-25 09:23:20,116
TXN-004268,96-503-7712,-6,SALE,2025-11-25 09:24:20,163
TXN-022159,08-196-2703,-8,SALE,2025-11-25 09:24:20,178
TXN-007785,29-823-6004,-2,SALE,2025-11-25 09:25:20,86
TXN-000946,43-693-2092,-4,SALE,2025-11-25 09:26:20,87
TXN-000098,39-629-5554,-2,SALE,2025-11-25 09:27:20,63
TXN-013511,74-610-2295,-2,SALE,2025-11-25 09:27:20,154
TXN-008890,17-022-9721,-1,SALE,2025-11-25 09:29:20,81
TXN-016889,34-369-7712,-2,SALE,2025-11-25 09:32:20,76
TXN-005166,16-354-8122,-4,SALE,2025-11-25 09:33:20,150
TXN-008923,22-849-2551,-5,SALE,2025-11-25 09:33:20,87
TXN-004060,18-199-5799,-4,SALE,2025-11-25 09:34:20,76
TXN-018470,44-112-3331,-3,SALE,2025-11-25 09:36:20,174
TXN-013831,17-395-1121,-3,SALE,2025-11-25 09:38:20,140
TXN-022439,82-977-7752,-2,SALE,2025-11-25 09:38:20,144
TXN-018440,69-895-3397,-2,SALE,2025-11-25 09:39:20,59
TXN-020725,67-382-4435,-3,SALE,2025-11-25 09:40:20,142
TXN-007755,03-043-9933,-4,SALE,2025-11-25 09:42:20,62
TXN-015252,40-902-1995,-1,SALE,2025-11-25 09:43:20,104
TXN-007238,65-759-3721,67,RESTOCK,2025-11-25 09:44:20,119
TXN-012529,17-253-5688,-3,SALE,2025-11-25 09:45:20,83
TXN-000519,40-795-0753,-1,SALE,2025-11-25 09:46:20,76
TXN-011885,11-604-6002,-3,SALE,2025-11-25 09:46:20,145
TXN-017433,29-741-8132,-2,SALE,2025-11-25 09:46:20,71
TXN-019186,58-946-5152,-7,SALE,2025-11-25 09:46:20,81
TXN-005458,60-632-8752,-4,SALE,2025-11-25 09:47:20,137
TXN-018361,27-495-1912,-8,SALE,2025-11-25 09:48:20,102
TXN-002113,14-305-5348,-3,SALE,2025-11-25 09:49:20,106
TXN-004191,38-417-4656,-2,SALE,2025-11-25 09:49:20,42
TXN-000707,79-136-9840,-1,SALE,2025-11-25 09:51:20,101
TXN-002297,34-861-4446,-1,SALE,2025-11-25 09:51:20,108
TXN-010916,06-996-3221,-4,SALE,2025-11-25 09:51:20,55
TXN-010972,87-272-6544,-3,SALE,2025-11-25 09:52:20,138
TXN-015874,28-003-8065,-3,SALE,2025-11-25 09:52:20,159
TXN-013079,13-798-3397,-1,SALE,2025-11-25 09:53:20,119
TXN-016461,08-637-9335,-1,SALE,2025-11-25 09:53:20,125
TXN-002386,62-509-0666,7,RESTOCK,2025-11-25 09:54:20,44
TXN-006018,24-972-6969,-2,SALE,2025-11-25 09:54:20,95
TXN-015326,97-093-4278,-1,SALE,2025-11-25 09:54:20,97
TXN-015410,61-317-9944,-8,SALE,2025-11-25 09:55:20,151
TXN-021345,79-920-2395,-5,SALE,2025-11-25 09:55:20,168
TXN-004384,63-822-5278,-1,SALE,2025-11-25 09:56:20,99
TXN-009515,38-924-3007,-1,SALE,2025-11-25 09:56:20,57
TXN-012499,15-144-9413,-1,SALE,2025-11-25 09:56:20,109
TXN-005026,80-072-8774,-1,SALE,2025-11-25 09:57:20,164
TXN-011190,33-440-2588,-3,SALE,2025-11-25 09:57:20,96
TXN-014629,51-000-8113,-4,SALE,2025-11-25 09:58:20,69
TXN-020162,44-368-7112,-3,SALE,2025-11-25 09:59:20,57
TXN-001598,44-408-7594,-4,SALE,2025-11-25 10:00:20,86
TXN-010494,23-265-8144,-3,SALE,2025-11-25 10:00:20,114
TXN-016890,34-369-7712,40,RESTOCK,2025-11-25 10:00:20,116
TXN-017192,85-835-3445,-5,SALE,2025-11-25 10:04:20,123
TXN-017826,05-425-0746,-1,SALE,2025-11-25 10:05:20,89
TXN-007064,89-602-6755,-1,SALE,2025-11-25 10:06:20,97
TXN-008209,43-670-8544,-4,SALE,2025-11-25 10:07:20,128
TXN-011719,33-507-9886,-1,SALE,2025-11-25 10:07:20,92
TXN-007389,32-261-0008,-2,SALE,2025-11-25 10:08:20,82
TXN-021223,24-579-6500,-3,SALE,2025-11-25 10:09:20,171
TXN-000233,11-073-0189,-2,SALE,2025-11-25 10:11:20,162
TXN-019979,59-725-4038,-5,SALE,2025-11-25 10:13:20,135
TXN-005088,56-191-6497,-2,SALE,2025-11-25 10:14:20,130
TXN-018762,61-680-9496,-3,SALE,2025-11-25 10:14:20,50
TXN-008265,49-919-8798,-2,SALE,2025-11-25 10:17:20,147
TXN-011680,33-807-7247,-4,SALE,2025-11-25 10:17:20,116
TXN-015015,45-380-4627,-4,SALE,2025-11-25 10:17:20,138
TXN-022128,63-936-0145,-2,SALE,2025-11-25 10:17:20,90
TXN-004807,67-027-7269,-6,SALE,2025-11-25 10:19:20,117
TXN-001445,55-697-5242,-3,SALE,2025-11-25 10:21:20,102
TXN-010022,29-592-7315,-4,SALE,2025-11-25 10:23:20,113
TXN-008530,37-666-3902,-5,SALE,2025-11-25 10:24:20,84
TXN-002935,88-602-8210,-7,SALE,2025-11-25 10:25:20,186
TXN-013794,82-948-2298,-3,SALE,2025-11-25 10:25:20,88
TXN-017627,17-274-6898,-1,SALE,2025-11-25 10:26:20,102
TXN-003136,51-459-5630,-8,SALE,2025-11-25 10:27:20,87
TXN-005535,11-745-3025,-1,SALE,2025-11-25 10:28:20,51
TXN-017723,94-355-3070,-1,SALE,2025-11-25 10:28:20,77
TXN-010164,11-155-7826,-1,SALE,2025-11-25 10:29:20,136
TXN-017221,66-716-8221,-2,SALE,2025-11-25 10:29:20,131
TXN-005724,76-540-6407,-4,SALE,2025-11-25 10:30:20,167
TXN-008240,12-439-8428,-1,SALE,2025-11-25 10:31:20,65
TXN-002982,90-737-0044,-2,SALE,2025-11-25 10:34:20,103
TXN-004355,20-054-3716,-2,SALE,2025-11-25 10:34:20,97
TXN-008717,65-644-1394,-4,SALE,2025-11-25 10:34:20,114
TXN-002776,44-552-3909,-2,SALE,2025-11-25 10:35:20,83
TXN-001092,70-854-6891,-2,SALE,2025-11-25 10:36:20,81
TXN-006216,30-591-7275,41,RESTOCK,2025-11-25 10:37:20,100
TXN-010419,88-586-8797,-5,SALE,2025-11-25 10:38:20,152
TXN-008516,47-749-3277,-2,SALE,2025-11-25 10:39:20,98
TXN-009296,98-909-9395,-1,SALE,2025-11-25 10:40:20,101
TXN-018596,89-388-3239,-7,SALE,2025-11-25 10:40:20,128
TXN-006764,42-879-9478,-6,SALE,2025-11-25 10:41:20,170
TXN-001488,20-225-3930,-6,SALE,2025-11-25 10:42:20,186
TXN-002616,98-556-5323,-4,SALE,2025-11-25 10:42:20,152
TXN-010755,32-987-5559,-2,SALE,2025-11-25 10:43:20,65
TXN-011592,21-013-3508,-1,SALE,2025-11-25 10:44:20,36
TXN-022059,84-327-7787,-4,SALE,2025-11-25 10:46:20,173
TXN-002531,50-364-5828,-3,SALE,2025-11-25 10:50:20,124
TXN-011103,73-751-4393,-2,SALE,2025-11-25 10:50:20,103
TXN-003227,58-063-8633,-4,SALE,2025-11-25 10:51:20,115
TXN-012682,45-194-4094,-4,SALE,2025-11-25 10:51:20,120
TXN-004897,09-286-8107,-7,SALE,2025-11-25 10:52:20,153
TXN-018295,72-341-1154,-3,SALE,2025-11-25 10:52:20,147
TXN-007969,67-512-9754,83,RESTOCK,2025-11-25 10:55:20,162
TXN-003031,14-521-4167,-4,SALE,2025-11-25 10:57:20,91
TXN-009266,71-074-6292,-6,SALE,2025-11-25 10:58:20,159
TXN-007993,45-402-0421,-2,SALE,2025-11-25 10:59:20,139
TXN-006089,84-629-1532,-3,SALE,2025-11-25 11:00:20,49
TXN-012291,97-300-7511,-8,SALE,2025-11-25 11:00:20,119
TXN-007525,37-246-0018,-6,SALE,2025-11-25 11:02:20,85
TXN-006001,10-034-7654,-2,SALE,2025-11-25 11:07:20,95
TXN-013437,80-658-6456,-3,SALE,2025-11-25 11:07:20,111
TXN-012140,74-305-1263,-1,SALE,2025-11-25 11:12:20,56
TXN-002362,55-522-8242,-2,SALE,2025-11-25 11:13:20,87
TXN-005582,59-075-2457,-1,SALE,2025-11-25 11:13:20,129
TXN-010281,83-321-7887,-4,SALE,2025-11-25 11:13:20,136
TXN-015986,12-093-9863,-5,SALE,2025-11-25 11:13:20,119
TXN-005607,40-021-2400,-3,SALE,2025-11-25 11:14:20,79
TXN-014504,01-839-6534,-2,SALE,2025-11-25 11:16:20,147
TXN-007664,95-252-9619,-3,SALE,2025-11-25 11:17:20,119
TXN-010061,40-683-0283,-1,SALE,2025-11-25 11:17:20,83
TXN-017771,13-888-0149,-1,SALE,2025-11-25 11:17:20,106
TXN-020249,07-834-3320,-6,SALE,2025-11-25 11:18:20,188
TXN-020829,85-806-8672,-2,SALE,2025-11-25 11:18:20,72
TXN-003628,24-364-3341,-5,SALE,2025-11-25 11:19:20,90
TXN-013858,74-132-5528,-4,SALE,2025-11-25 11:19:20,121
TXN-007285,15-679-3935,-3,SALE,2025-11-25 11:20:20,53
TXN-008019,85-207-4164,-2,SALE,2025-11-25 11:20:20,124
TXN-022410,53-805-9523,-3,SALE,2025-11-25 11:20:20,91
TXN-006717,08-940-8578,-6,SALE,2025-11-25 11:21:20,118
TXN-016087,85-510-2915,-2,SALE,2025-11-25 11:21:20,102
TXN-018630,10-555-5971,-4,SALE,2025-11-25 11:24:20,137
TXN-012889,37-567-3218,-2,SALE,2025-11-25 11:25:20,73
TXN-006866,55-631-7937,-1,SALE,2025-11-25 11:27:20,50
TXN-020933,24-986-5091,-7,SALE,2025-11-25 11:28:20,165
TXN-005294,49-526-7806,-2,SALE,2025-11-25 11:30:20,123
TXN-017545,11-338-4598,-2,SALE,2025-11-25 11:30:20,166
TXN-006112,68-977-2498,-5,SALE,2025-11-25 11:31:20,176
TXN-020120,54-708-7327,-1,SALE,2025-11-25 11:31:20,101
TXN-001703,88-746-9468,-5,SALE,2025-11-25 11:32:20,106
TXN-001511,66-993-4234,-3,SALE,2025-11-25 11:34:20,54
TXN-011074,15-796-3130,-1,SALE,2025-11-25 11:35:20,132
TXN-016541,25-911-7736,-8,SALE,2025-11-25 11:35:20,163
TXN-008675,80-371-3695,-4,SALE,2025-11-25 11:36:20,179
TXN-015091,67-725-6830,-4,SALE,2025-11-25 11:37:20,100
TXN-004449,70-587-1204,-1,SALE,2025-11-25 11:40:20,104
TXN-021536,26-000-1012,-5,SALE,2025-11-25 11:42:20,129
TXN-000204,75-094-1179,-2,SALE,2025-11-25 11:43:20,71
TXN-009954,55-803-3964,-2,SALE,2025-11-25 11:44:20,54
TXN-009815,11-922-3342,-4,SALE,2025-11-25 11:46:20,100
TXN-015660,19-854-3663,-2,SALE,2025-11-25 11:47:20,111
TXN-002180,13-202-4809,-1,SALE,2025-11-25 11:54:20,117
TXN-013721,60-311-5701,-3,SALE,2025-11-25 11:54:20,90
TXN-004683,68-734-1585,-8,SALE,2025-11-25 11:55:20,146
TXN-005386,93-813-2419,-8,SALE,2025-11-25 11:57:20,129
TXN-018848,38-617-7226,-4,SALE,2025-11-25 11:57:20,115
TXN-001567,81-844-2979,-3,SALE,2025-11-25 11:59:20,117
TXN-006909,84-272-0790,-4,SALE,2025-11-25 12:01:20,72
TXN-002335,49-891-4927,-5,SALE,2025-11-25 12:02:20,100
TXN-008950,53-050-8242,-2,SALE,2025-11-25 12:02:20,146
TXN-013970,73-010-8323,-2,SALE,2025-11-25 12:03:20,49
TXN-021424,18-107-7886,-6,SALE,2025-11-25 12:04:20,132
TXN-016433,36-679-4670,-5,SALE,2025-11-25 12:05:20,166
TXN-004840,72-066-4597,-3,SALE,2025-11-25 12:10:20,97
TXN-017471,00-641-8691,-1,SALE,2025-11-25 12:11:20,128
TXN-000258,22-621-2774,-6,SALE,2025-11-25 12:12:20,111
TXN-008777,40-997-2786,-3,SALE,2025-11-25 12:12:20,135
TXN-013245,80-375-9075,-6,SALE,2025-11-25 12:12:20,161
TXN-016994,32-676-1026,-3,SALE,2025-11-25 12:14:20,92
TXN-008960,88-183-5781,-8,SALE,2025-11-25 12:16:20,102
TXN-014863,93-218-8108,-9,SALE,2025-11-25 12:16:20,164
TXN-013367,83-117-7658,-1,SALE,2025-11-25 12:17:20,153
TXN-020906,63-897-8088,-2,SALE,2025-11-25 12:17:20,96
TXN-008586,57-359-3397,-5,SALE,2025-11-25 12:19:20,133
TXN-018658,82-931-7126,-3,SALE,2025-11-25 12:19:20,72
TXN-001034,52-481-5224,-4,SALE,2025-11-25 12:20:20,85
TXN-022330,54-830-6971,-5,SALE,2025-11-25 12:21:20,180
TXN-009059,27-757-4489,-3,SALE,2025-11-25 12:24:20,127
TXN-006630,00-440-9568,-4,SALE,2025-11-25 12:25:20,104
TXN-003503,83-917-7384,-2,SALE,2025-11-25 12:26:20,126
TXN-013103,85-806-0613,-2,SALE,2025-11-25 12:26:20,89
TXN-008627,27-881-1177,-9,SALE,2025-11-25 12:28:20,122
TXN-009367,60-343-3288,-5,SALE,2025-11-25 12:33:20,134
TXN-009598,28-505-8317,-9,SALE,2025-11-25 12:33:20,106
TXN-011509,95-356-1566,-3,SALE,2025-11-25 12:35:20,52
TXN-006777,00-405-7428,-2,SALE,2025-11-25 12:40:20,121
TXN-021396,40-205-8252,-1,SALE,2025-11-25 12:40:20,82
TXN-005245,35-617-3857,-1,SALE,2025-11-25 12:44:20,104
TXN-010072,83-553-9523,-3,SALE,2025-11-25 12:44:20,101
TXN-005415,85-440-3667,-1,SALE,2025-11-25 12:45:20,120
TXN-016138,49-377-9731,-1,SALE,2025-11-25 12:45:20,71
TXN-017741,17-265-1899,-2,SALE,2025-11-25 12:48:20,165
TXN-006228,83-763-5038,-2,SALE,2025-11-25 12:51:20,71
TXN-014924,08-226-5155,-5,SALE,2025-11-25 12:51:20,96
TXN-011621,38-049-9319,-2,SALE,2025-11-25 12:52:20,101
TXN-020177,03-833-3577,-5,SALE,2025-11-25 12:52:20,143
TXN-010182,99-543-5039,-2,SALE,2025-11-25 12:53:20,152
TXN-000863,11-316-8405,-1,SALE,2025-11-25 12:54:20,62
TXN-019320,44-546-5713,-1,SALE,2025-11-25 12:56:20,117
TXN-011938,70-534-7796,-1,SALE,2025-11-25 12:57:20,64
TXN-009704,98-858-6323,-4,SALE,2025-11-25 12:58:20,66
TXN-003345,73-561-2867,-6,SALE,2025-11-25 12:59:20,81
TXN-020436,63-918-8253,-2,SALE,2025-11-25 13:01:20,92
TXN-021162,07-337-9889,-3,SALE,2025-11-25 13:03:20,141
TXN-011569,35-621-2546,-4,SALE,2025-11-25 13:05:20,149
TXN-003374,19-967-0632,-3,SALE,2025-11-25 13:07:20,94
TXN-008824,13-980-8804,-9,SALE,2025-11-25 13:08:20,189
TXN-001212,36-918-2937,-1,SALE,2025-11-25 13:09:20,96
TXN-014187,83-727-0814,-1,SALE,2025-11-25 13:09:20,39
TXN-016801,31-255-9616,-1,SALE,2025-11-25 13:10:20,115
TXN-007266,08-725-8156,-4,SALE,2025-11-25 13:11:20,112
TXN-007615,57-903-6434,-3,SALE,2025-11-25 13:11:20,123
TXN-015057,81-573-0943,-1,SALE,2025-11-25 13:11:20,54
TXN-010151,46-255-3073,-4,SALE,2025-11-25 13:14:20,74
TXN-010347,76-401-7083,-4,SALE,2025-11-25 13:14:20,102
TXN-013630,20-448-2972,-1,SALE,2025-11-25 13:15:20,105
TXN-003759,98-235-2711,-8,SALE,2025-11-25 13:16:20,112
TXN-004214,53-080-8252,-1,SALE,2025-11-25 13:16:20,61
TXN-012160,53-151-5726,-3,SALE,2025-11-25 13:17:20,68
TXN-018208,68-973-8812,-2,SALE,2025-11-25 13:17:20,131
TXN-007237,65-759-3721,-1,SALE,2025-11-25 13:18:20,52
TXN-001912,77-312-6317,-2,SALE,2025-11-25 13:19:20,98
TXN-004973,01-173-0029,-2,SALE,2025-11-25 13:19:20,77
TXN-001119,46-520-1819,-1,SALE,2025-11-25 13:20:20,78
TXN-007968,67-512-9754,-6,SALE,2025-11-25 13:20:20,79
TXN-022015,02-974-8526,-9,SALE,2025-11-25 13:20:20,162
TXN-000023,06-955-3428,-1,SALE,2025-11-25 13:21:20,60
TXN-001264,69-468-5468,-2,SALE,2025-11-25 13:22:20,89
TXN-019132,98-546-7398,-2,SALE,2025-11-25 13:22:20,119
TXN-000461,67-025-1245,-5,SALE,2025-11-25 13:25:20,156
TXN-019015,13-673-7016,-3,SALE,2025-11-25 13:28:20,80
TXN-000892,34-086-3222,-1,SALE,2025-11-25 13:29:20,77
TXN-006045,94-190-5193,-1,SALE,2025-11-25 13:31:20,133
TXN-017694,94-071-2261,-3,SALE,2025-11-25 13:33:20,109
TXN-011989,20-405-4865,-3,SALE,2025-11-25 13:34:20,56
TXN-012831,76-476-9996,-2,SALE,2025-11-25 13:34:20,70
TXN-003533,26-031-8070,-6,SALE,2025-11-25 13:35:20,140
TXN-018411,82-538-4809,-2,SALE,2025-11-25 13:36:20,116
TXN-019210,65-867-4029,-4,SALE,2025-11-25 13:36:20,128
TXN-008471,02-275-6061,-6,SALE,2025-11-25 13:37:20,84
TXN-014147,08-495-6853,-3,SALE,2025-11-25 13:37:20,136
TXN-018962,40-126-0515,-2,SALE,2025-11-25 13:37:20,163
TXN-000044,57-437-1828,-6,SALE,2025-11-25 13:38:20,93
TXN-006215,30-591-7275,-3,SALE,2025-11-25 13:40:20,59
TXN-009759,43-164-5984,-1,SALE,2025-11-25 13:40:20,61
TXN-014228,07-858-5487,-2,SALE,2025-11-25 13:42:20,115
TXN-000672,38-732-7667,-3,SALE,2025-11-25 13:43:20,57
TXN-012636,47-843-8207,-1,SALE,2025-11-25 13:44:20,61
TXN-016512,41-475-5305,-2,SALE,2025-11-25 13:44:20,130
TXN-000611,16-499-5059,-6,SALE,2025-11-25 13:45:20,132
TXN-000787,70-612-2531,-5,SALE,2025-11-25 13:46:20,94
TXN-001130,91-105-7317,-2,SALE,2025-11-25 13:46:20,178
TXN-000816,26-161-6692,-4,SALE,2025-11-25 13:47:20,136
TXN-015236,69-743-0161,-1,SALE,2025-11-25 13:47:20,178
TXN-017393,08-519-5579,-6,SALE,2025-11-25 13:47:20,119
TXN-010886,51-583-6029,-1,SALE,2025-11-25 13:50:20,109
TXN-000557,79-741-0770,-1,SALE,2025-11-25 13:52:20,165
TXN-008374,83-625-3618,-2,SALE,2025-11-25 13:52:20,150
TXN-015841,02-034-6209,-3,SALE,2025-11-25 13:52:20,64
TXN-012067,14-489-8669,-1,SALE,2025-11-25 13:53:20,130
TXN-013988,06-068-6793,-1,SALE,2025-11-25 13:54:20,84
TXN-007940,51-312-8608,-6,SALE,2025-11-25 13:59:20,141
TXN-007815,40-462-2952,-4,SALE,2025-11-25 14:01:20,168
TXN-005814,90-773-9557,-3,SALE,2025-11-25 14:04:20,127
TXN-014339,72-989-2512,-8,SALE,2025-11-25 14:04:20,101
TXN-016618,45-634-0679,-5,SALE,2025-11-25 14:05:20,146
TXN-009378,27-783-5470,-2,SALE,2025-11-25 14:06:20,93
TXN-016241,43-193-9915,-2,SALE,2025-11-25 14:06:20,101
TXN-019249,02-170-5225,-3,SALE,2025-11-25 14:06:20,167
TXN-009835,60-550-4771,-4,SALE,2025-11-25 14:08:20,120
TXN-003891,31-746-4951,-1,SALE,2025-11-25 14:12:20,96
TXN-003997,58-182-6781,-7,SALE,2025-11-25 14:12:20,104
TXN-006545,39-315-3936,-1,SALE,2025-11-25 14:12:20,79
TXN-015355,01-820-5784,-1,SALE,2025-11-25 14:12:20,85
TXN-020999,28-107-4953,-5,SALE,2025-11-25 14:12:20,130
TXN-021835,13-962-6263,-9,SALE,2025-11-25 14:12:20,137
TXN-009705,98-858-6323,3,ADJUSTMENT,2025-11-25 14:13:20,69
TXN-015503,50-329-3145,-1,SALE,2025-11-25 14:14:20,42
TXN-000725,73-401-5721,-2,SALE,2025-11-25 14:15:20,109
TXN-007585,47-802-5023,-6,SALE,2025-11-25 14:15:20,91
TXN-007316,81-578-7404,-7,SALE,2025-11-25 14:17:20,133
TXN-007113,15-240-6267,-2,SALE,2025-11-25 14:18:20,131
TXN-010962,58-219-0241,-1,SALE,2025-11-25 14:18:20,76
TXN-019293,91-290-9062,-2,SALE,2025-11-25 14:21:20,107
TXN-010252,35-529-2933,-1,SALE,2025-11-25 14:23:20,169
TXN-006966,49-311-3063,-3,ADJUSTMENT,2025-11-25 14:24:20,114
TXN-015644,28-185-7303,-1,SALE,2025-11-25 14:24:20,106
TXN-020565,27-387-0428,-6,SALE,2025-11-25 14:25:20,174
TXN-021806,34-709-9237,-2,SALE,2025-11-25 14:25:20,85
TXN-022358,39-358-3340,-4,SALE,2025-11-25 14:25:20,127
TXN-017122,44-637-5512,-7,SALE,2025-11-25 14:29:20,122
TXN-013180,91-127-7489,-2,SALE,2025-11-25 14:31:20,84
TXN-020013,91-426-3204,-7,SALE,2025-11-25 14:31:20,136
TXN-019103,19-112-1616,-3,ADJUSTMENT,2025-11-25 14:32:20,108
TXN-005136,48-461-3742,-4,SALE,2025-11-25 14:37:20,80
TXN-021464,21-650-9319,-6,SALE,2025-11-25 14:37:20,103
TXN-006402,29-756-7042,-3,SALE,2025-11-25 14:38:20,150
TXN-010495,23-265-8144,-1,ADJUSTMENT,2025-11-25 14:38:20,113
TXN-011893,44-305-1866,-8,SALE,2025-11-25 14:38:20,135
