sku_id,product_name,category,quantity,velocity,status,icon
91-105-7317,Orange,Fruits & Vegetables,85,95,Stocked,nutrition
40-751-8635,Pineapple,Fruits & Vegetables,44,96,Low,nutrition
02-920-4829,White Bread,Bakery,92,61,Stocked,bakery_dining
36-918-2937,Green Coffee,Beverages,62,35,Low,coffee
68-761-6907,Zucchini,Fruits & Vegetables,26,57,Stocked,nutrition
69-468-5468,Sourdough Bread,Bakery,59,32,Low,bakery_dining
27-635-8394,Orange,Fruits & Vegetables,88,63,Stocked,nutrition
41-729-5410,Sardines,Seafood,91,30,Stocked,set_meal
33-335-9140,Olive Oil,Oils & Fats,28,38,Stocked,water_drop
11-581-9869,Carrot,Fruits & Vegetables,51,44,Low,nutrition
78-237-0277,Black Tea,Beverages,46,64,Stocked,coffee
75-152-8731,Pear,Fruits & Vegetables,82,30,Stocked,nutrition
65-718-0492,Olive Oil,Oils & Fats,100,84,Stocked,water_drop
55-697-5242,Ricotta Cheese,Dairy,51,54,Low,egg
14-844-4138,Black Coffee,Beverages,61,67,Stocked,coffee
20-225-3930,White Tea,Beverages,99,93,Stocked,coffee
66-993-4234,Cucumber,Fruits & Vegetables,13,44,Critical,nutrition
87-762-1317,Mozzarella Cheese,Dairy,45,83,Low,egg
81-844-2979,Broccoli,Fruits & Vegetables,73,47,Low,nutrition
44-408-7594,Eggplant,Fruits & Vegetables,39,51,Stocked,nutrition
26-010-9519,Trout,Seafood,29,85,Low,set_meal
65-464-5070,Heavy Cream,Dairy,12,20,Critical,egg
07-970-9352,Bell Pepper,Fruits & Vegetables,96,74,Stocked,nutrition
88-746-9468,Onion,Fruits & Vegetables,35,76,Low,nutrition
06-336-5482,Sardines,Seafood,89,60,Stocked,set_meal
03-276-3931,Mango,Fruits & Vegetables,60,26,Stocked,nutrition
39-232-5341,Arborio Rice,Grains & Pulses,20,50,Low,grain
12-239-9399,Potato,Fruits & Vegetables,28,30,Low,nutrition
75-080-4909,Corn Oil,Oils & Fats,20,86,Low,water_drop
70-815-4015,Butter Biscuit,Bakery,38,67,Low,bakery_dining
11-032-9778,Peas,Fruits & Vegetables,99,50,Stocked,nutrition
54-374-9986,Cream,Dairy,92,72,Stocked,egg
77-312-6317,Spinach,Fruits & Vegetables,41,59,Stocked,nutrition
13-844-2178,Sardines,Seafood,44,90,Low,set_meal
22-141-9798,White Sugar,Grains & Pulses,47,29,Stocked,grain
20-022-3173,Bread Flour,Grains & Pulses,21,38,Low,grain
26-177-5690,Cucumber,Fruits & Vegetables,85,64,Stocked,nutrition
70-871-4536,Swiss Cheese,Dairy,29,59,Stocked,egg
06-611-5454,Peanut Oil,Oils & Fats,64,51,Stocked,water_drop
89-543-3456,Blueberries,Fruits & Vegetables,66,24,Stocked,nutrition
82-395-5070,Chocolate Biscuit,Bakery,75,69,Low,bakery_dining
14-305-5348,Cheese,Dairy,53,56,Low,egg
82-243-3180,Palm Oil,Oils & Fats,43,33,Low,water_drop
25-010-9478,Eggplant,Fruits & Vegetables,74,82,Stocked,nutrition
13-202-4809,Garlic,Fruits & Vegetables,27,91,Stocked,nutrition
67-270-7464,Jasmine Rice,Grains & Pulses,91,51,Stocked,grain
11-733-1756,Rice Flour,Grains & Pulses,52,95,Low,grain
80-988-4653,Zucchini,Fruits & Vegetables,43,66,Low,nutrition
60-343-7973,Multigrain Bread,Bakery,56,67,Low,bakery_dining
34-861-4446,Ricotta Cheese,Dairy,66,43,Stocked,egg
67-710-5120,Bread Flour,Grains & Pulses,84,92,Low,grain
49-891-4927,Cottage Cheese,Dairy,37,68,Stocked,egg
55-522-8242,Whipped Cream,Dairy,29,60,Low,egg
62-509-0666,Almond Flour,Grains & Pulses,13,24,Critical,grain
64-478-4745,Lemon,Fruits & Vegetables,63,56,Low,nutrition
35-835-5591,Tilapia,Seafood,95,61,Stocked,set_meal
26-690-3784,Lettuce,Fruits & Vegetables,58,53,Stocked,nutrition
67-546-1568,Peanut Oil,Oils & Fats,57,56,Stocked,water_drop
67-625-9704,Sardines,Seafood,33,98,Stocked,set_meal
31-969-4614,Arabica Coffee,Beverages,62,23,Low,coffee
50-364-5828,Coconut,Fruits & Vegetables,89,38,Stocked,nutrition
61-827-4098,Cod,Seafood,23,63,Low,set_meal
87-698-0944,Banana,Fruits & Vegetables,56,35,Stocked,nutrition
36-636-4873,Black Rice,Grains & Pulses,86,80,Low,grain
98-556-5323,Pomegranate,Fruits & Vegetables,60,96,Low,nutrition
97-772-2336,Pineapple,Fruits & Vegetables,70,44,Stocked,nutrition
19-047-4239,Peach,Fruits & Vegetables,47,93,Low,nutrition
41-316-8427,Arborio Rice,Grains & Pulses,95,60,Stocked,grain
15-907-3681,Plum,Fruits & Vegetables,20,61,Low,nutrition
14-305-9690,Sushi Rice,Grains & Pulses,19,58,Stocked,grain
40-860-4532,Arabica Coffee,Beverages,74,83,Stocked,coffee
44-552-3909,Pear,Fruits & Vegetables,61,24,Stocked,nutrition
75-029-9003,Sourdough Bread,Bakery,34,28,Low,bakery_dining
74-587-2065,Pear,Fruits & Vegetables,29,31,Stocked,nutrition
70-149-6756,Heavy Cream,Dairy,14,28,Critical,egg
29-896-7926,White Rice,Grains & Pulses,20,62,Low,grain
54-822-9009,Cauliflower,Grains & Pulses,40,21,Stocked,grain
84-075-7647,Canola Oil,Oils & Fats,91,43,Stocked,water_drop
88-602-8210,Avocado Oil,Oils & Fats,99,94,Stocked,water_drop
04-542-3863,Bread Flour,Grains & Pulses,34,49,Low,grain
57-613-5779,Gouda Cheese,Dairy,100,20,Stocked,egg
90-737-0044,Black Rice,Grains & Pulses,79,26,Low,grain
28-956-1320,Greek Yogurt,Dairy,62,50,Stocked,egg
87-791-5803,Tuna,Seafood,25,36,Low,set_meal
14-521-4167,Buttermilk,Dairy,47,48,Stocked,egg
51-572-5497,Orange,Fruits & Vegetables,15,56,Low,nutrition
28-840-6096,Pomegranate,Fruits & Vegetables,19,59,Critical,nutrition
44-538-3366,Tuna,Seafood,58,25,Low,set_meal
51-459-5630,Sour Cream,Dairy,11,84,Low,egg
02-655-3240,Rice Flour,Grains & Pulses,99,36,Stocked,grain
42-887-6557,Long Grain Rice,Grains & Pulses,26,76,Low,grain
96-316-7600,Bell Pepper,Fruits & Vegetables,70,23,Stocked,nutrition
58-063-8633,Bell Pepper,Fruits & Vegetables,50,69,Stocked,nutrition
43-703-9939,Pineapple,Fruits & Vegetables,55,81,Low,nutrition
88-069-5486,Cod,Seafood,31,41,Low,set_meal
74-845-3299,Green Tea,Beverages,63,93,Low,coffee
81-605-6246,Sardines,Seafood,73,22,Stocked,set_meal
73-561-2867,Sourdough Bread,Bakery,12,75,Critical,bakery_dining
19-967-0632,Short Grain Rice,Grains & Pulses,53,44,Low,grain
23-070-2433,Powdered Sugar,Grains & Pulses,68,69,Stocked,grain
27-262-2437,Swiss Cheese,Dairy,80,54,Stocked,egg
39-479-5147,Tuna,Seafood,92,40,Stocked,set_meal
71-085-4290,Cucumber,Fruits & Vegetables,31,91,Low,nutrition
48-957-6116,Eggplant,Fruits & Vegetables,31,46,Low,nutrition
83-917-7384,Garlic,Fruits & Vegetables,76,52,Low,nutrition
26-031-8070,Vegetable Oil,Oils & Fats,57,89,Low,water_drop
03-149-9760,Whipped Cream,Dairy,92,43,Low,egg
53-680-5293,Cheddar Cheese,Dairy,88,79,Stocked,egg
49-861-7823,Coconut,Fruits & Vegetables,99,41,Stocked,nutrition
24-364-3341,Egg (Turkey),Dairy,44,51,Low,egg
80-374-5711,Herbal Tea,Beverages,48,70,Low,coffee
76-325-9093,Sesame Oil,Oils & Fats,27,29,Critical,water_drop
30-429-2162,Black Rice,Grains & Pulses,34,90,Low,grain
53-446-8243,Orange,Fruits & Vegetables,41,88,Low,nutrition
67-473-7093,Black Tea,Beverages,56,52,Stocked,coffee
98-235-2711,Asparagus,Fruits & Vegetables,22,98,Low,nutrition
07-219-8017,Palm Oil,Oils & Fats,40,71,Stocked,water_drop
97-040-3822,Swiss Cheese,Dairy,50,42,Low,egg
10-002-6494,Mango,Fruits & Vegetables,89,46,Low,nutrition
12-998-3882,Egg (Turkey),Dairy,76,69,Stocked,egg
31-746-4951,Whole Wheat Flour,Grains & Pulses,67,30,Stocked,grain
87-097-5691,Robusta Coffee,Beverages,62,62,Low,coffee
34-075-0371,Watermelon,Fruits & Vegetables,75,90,Stocked,nutrition
40-810-9261,Green Coffee,Beverages,75,33,Stocked,coffee
46-931-6897,Cream,Dairy,29,64,Low,egg
58-182-6781,Oatmeal Biscuit,Bakery,34,77,Low,bakery_dining
06-706-6490,Green Tea,Beverages,15,60,Critical,coffee
47-578-4161,Anchovies,Seafood,88,98,Stocked,set_meal
18-199-5799,Cheddar Cheese,Dairy,40,40,Low,egg
00-357-2313,Avocado Oil,Oils & Fats,10,24,Critical,water_drop
83-704-6367,Arabica Coffee,Beverages,21,20,Critical,coffee
01-144-5960,Trout,Seafood,75,89,Stocked,set_meal
96-774-0457,Cod,Seafood,56,99,Stocked,set_meal
24-310-9184,Rye Bread,Bakery,69,98,Stocked,bakery_dining
10-255-8579,Basmati Rice,Grains & Pulses,56,69,Stocked,grain
38-417-4656,White Sugar,Grains & Pulses,24,20,Low,grain
53-080-8252,Sourdough Bread,Bakery,30,32,Low,bakery_dining
14-681-7035,White Tea,Beverages,36,35,Low,coffee
96-503-7712,White Bread,Bakery,93,76,Stocked,bakery_dining
98-064-4465,Mozzarella Cheese,Dairy,96,72,Stocked,egg
84-198-7276,Peanut Oil,Oils & Fats,60,94,Low,water_drop
18-278-2383,Gouda Cheese,Dairy,97,43,Stocked,egg
20-054-3716,Chocolate Biscuit,Bakery,11,88,Stocked,bakery_dining
63-822-5278,Pomegranate,Fruits & Vegetables,14,86,Critical,nutrition
01-439-6231,Sunflower Oil,Oils & Fats,88,25,Low,water_drop
06-690-2335,Jasmine Rice,Grains & Pulses,24,35,Stocked,grain
47-554-5780,Haddock,Seafood,93,78,Stocked,set_meal
70-587-1204,Black Rice,Grains & Pulses,68,37,Low,grain
97-710-2449,Rye Bread,Bakery,28,31,Critical,bakery_dining
51-462-0747,Lime,Fruits & Vegetables,21,43,Low,nutrition
90-492-0564,Pomegranate,Fruits & Vegetables,92,32,Low,nutrition
63-956-0739,Robusta Coffee,Beverages,68,39,Stocked,coffee
30-832-5429,Multigrain Bread,Bakery,46,68,Stocked,bakery_dining
38-822-8005,Cucumber,Fruits & Vegetables,47,49,Stocked,nutrition
73-118-1117,Olive Oil,Oils & Fats,52,100,Low,water_drop
60-285-3783,Mushrooms,Fruits & Vegetables,51,52,Low,nutrition
00-215-7434,Egg (Goose),Dairy,14,59,Critical,egg
68-734-1585,Greek Yogurt,Fruits & Vegetables,62,92,Stocked,nutrition
08-703-1382,Peach,Fruits & Vegetables,40,70,Low,nutrition
65-282-0419,White Tea,Beverages,50,29,Low,coffee
62-777-6010,Sushi Rice,Grains & Pulses,77,42,Stocked,grain
87-675-1506,Strawberries,Fruits & Vegetables,31,46,Low,nutrition
67-027-7269,Mushrooms,Fruits & Vegetables,35,88,Stocked,nutrition
72-066-4597,Broccoli,Fruits & Vegetables,31,69,Low,nutrition
31-627-6025,White Bread,Bakery,56,56,Low,bakery_dining
09-286-8107,Greek Yogurt,Dairy,90,70,Stocked,egg
77-013-1553,Canola Oil,Oils & Fats,79,92,Stocked,water_drop
15-762-1058,Lime,Fruits & Vegetables,29,81,Low,nutrition
48-193-1199,Canola Oil,Oils & Fats,46,47,Low,water_drop
01-173-0029,Blueberries,Fruits & Vegetables,42,37,Stocked,nutrition
79-400-6216,Mozzarella Cheese,Dairy,16,56,Critical,egg
80-072-8774,Tuna,Seafood,89,76,Low,set_meal
78-689-8958,White Tea,Beverages,20,73,Low,coffee
57-562-2358,Black Coffee,Beverages,37,94,Low,coffee
56-191-6497,Bread Flour,Grains & Pulses,97,35,Stocked,grain
46-753-8430,Feta Cheese,Dairy,98,92,Stocked,egg
48-461-3742,Kiwi,Fruits & Vegetables,37,47,Stocked,nutrition
16-354-8122,Digestive Biscuit,Bakery,97,57,Low,bakery_dining
76-954-1442,Arabica Coffee,Beverages,97,74,Stocked,coffee
44-476-0390,Lemon,Fruits & Vegetables,90,71,Low,nutrition
35-617-3857,Arabica Coffee,Beverages,46,59,Stocked,coffee
94-029-2717,Broccoli,Fruits & Vegetables,40,86,Stocked,nutrition
49-526-7806,Kale,Fruits & Vegetables,77,48,Stocked,nutrition
99-137-1730,Bread Flour,Grains & Pulses,62,32,Low,grain
27-442-3654,Herbal Tea,Beverages,59,69,Stocked,coffee
32-933-0329,Blueberries,Fruits & Vegetables,23,40,Low,nutrition
93-813-2419,Digestive Biscuit,Bakery,39,98,Stocked,bakery_dining
85-440-3667,Gouda Cheese,Dairy,68,53,Stocked,egg
77-224-2227,Almond Flour,Grains & Pulses,75,43,Stocked,grain
60-632-8752,Chocolate Biscuit,Bakery,96,45,Stocked,bakery_dining
99-561-4871,Haddock,Seafood,17,100,Low,set_meal
61-607-7622,Egg (Duck),Dairy,23,84,Low,egg
11-745-3025,Peach,Fruits & Vegetables,15,37,Low,nutrition
56-810-0550,Mackerel,Seafood,71,52,Stocked,set_meal
59-075-2457,Egg (Goose),Dairy,97,33,Stocked,egg
40-021-2400,Zucchini,Fruits & Vegetables,29,53,Stocked,nutrition
29-017-6255,Bell Pepper,Fruits & Vegetables,46,96,Low,nutrition
92-291-7089,Cheese,Dairy,76,60,Stocked,egg
69-287-9113,Zucchini,Fruits & Vegetables,59,54,Low,nutrition
76-540-6407,Orange,Fruits & Vegetables,92,79,Stocked,nutrition
85-561-4694,Kiwi,Fruits & Vegetables,28,70,Stocked,nutrition
34-928-2775,Coconut,Fruits & Vegetables,19,96,Low,nutrition
90-773-9557,Butter,Dairy,85,45,Stocked,egg
57-394-1587,Bread Flour,Grains & Pulses,57,53,Low,grain
28-008-2951,Broccoli,Fruits & Vegetables,95,52,Stocked,nutrition
74-711-7160,Sushi Rice,Grains & Pulses,84,39,Stocked,grain
22-895-6595,Rice Flour,Grains & Pulses,31,38,Low,grain
19-214-5762,Pear,Fruits & Vegetables,41,57,Low,nutrition
95-349-0828,Feta Cheese,Dairy,97,95,Stocked,egg
00-963-2193,Milk,Dairy,43,84,Low,egg
76-459-2392,Palm Oil,Oils & Fats,74,31,Stocked,water_drop
10-034-7654,Bread Flour,Grains & Pulses,70,27,Low,grain
24-972-6969,Cheese,Dairy,69,28,Stocked,egg
94-190-5193,Carrot,Fruits & Vegetables,67,67,Low,nutrition
92-791-0606,Short Grain Rice,Grains & Pulses,18,61,Critical,grain
84-629-1532,Arabica Coffee,Beverages,22,30,Critical,coffee
68-977-2498,Grapes,Fruits & Vegetables,88,93,Low,nutrition
91-257-3672,Tilapia,Seafood,78,63,Stocked,set_meal
09-536-2626,Olive Oil,Oils & Fats,83,47,Stocked,water_drop
61-801-8665,Robusta Coffee,Beverages,42,34,Low,coffee
38-296-6634,Peas,Fruits & Vegetables,49,82,Stocked,nutrition
30-591-7275,Brown Rice,Grains & Pulses,17,45,Critical,grain
83-763-5038,Buttermilk,Dairy,52,21,Low,egg
37-709-3532,Mushrooms,Fruits & Vegetables,79,55,Stocked,nutrition
62-795-7801,Palm Oil,Oils & Fats,35,62,Low,water_drop
98-575-4736,Cucumber,Fruits & Vegetables,76,22,Stocked,nutrition
57-861-4379,Swiss Cheese,Dairy,93,93,Stocked,egg
00-119-8780,Halibut,Seafood,40,39,Low,set_meal
28-824-9017,Trout,Seafood,19,96,Critical,set_meal
56-668-5370,Vegetable Oil,Oils & Fats,70,100,Low,water_drop
29-756-7042,Digestive Biscuit,Bakery,90,63,Stocked,bakery_dining
41-538-3129,Digestive Biscuit,Bakery,77,62,Low,bakery_dining
16-380-0753,Apricot,Fruits & Vegetables,38,33,Stocked,nutrition
26-535-4727,Tilapia,Seafood,93,72,Stocked,set_meal
59-857-6577,Evaporated Milk,Dairy,23,63,Critical,egg
14-550-2152,Green Tea,Beverages,51,96,Stocked,coffee
39-315-3936,Heavy Cream,Dairy,57,23,Low,egg
87-199-2743,Papaya,Fruits & Vegetables,59,63,Low,nutrition
60-771-0879,Blueberries,Fruits & Vegetables,89,79,Stocked,nutrition
00-440-9568,Blueberries,Fruits & Vegetables,53,55,Low,nutrition
07-074-1196,Plum,Fruits & Vegetables,11,40,Critical,nutrition
69-674-5387,Yogurt,Dairy,59,92,Stocked,egg
08-940-8578,Onion,Fruits & Vegetables,34,90,Stocked,nutrition
94-020-6982,Tuna,Seafood,25,31,Low,set_meal
42-879-9478,Anchovies,Seafood,81,95,Stocked,set_meal
00-405-7428,Apple,Fruits & Vegetables,81,42,Stocked,nutrition
87-997-0228,Watermelon,Fruits & Vegetables,71,81,Stocked,nutrition
05-498-7751,Cauliflower,Fruits & Vegetables,52,56,Stocked,nutrition
55-631-7937,Greek Yogurt,Dairy,26,25,Low,egg
27-389-3529,Haddock,Seafood,84,60,Stocked,set_meal
84-272-0790,Blueberries,Fruits & Vegetables,28,48,Low,nutrition
01-903-5373,Strawberries,Fruits & Vegetables,94,40,Stocked,nutrition
49-311-3063,Kiwi,Fruits & Vegetables,47,70,Low,nutrition
04-277-5245,Coconut Sugar,Grains & Pulses,20,71,Low,grain
04-453-5485,Tomato,Fruits & Vegetables,84,86,Stocked,nutrition
42-141-5718,Cheese,Dairy,100,88,Stocked,egg
89-602-6755,Milk,Dairy,74,24,Low,egg
15-045-8444,Green Coffee,Beverages,27,88,Stocked,coffee
15-240-6267,Eggplant,Fruits & Vegetables,91,42,Stocked,nutrition
05-193-8096,Grapes,Fruits & Vegetables,82,39,Stocked,nutrition
93-342-8794,Bread Flour,Grains & Pulses,84,83,Low,grain
83-716-2177,Halibut,Seafood,18,57,Low,set_meal
56-635-6764,Sourdough Bread,Bakery,12,75,Critical,bakery_dining
10-249-7928,Black Rice,Grains & Pulses,85,95,Stocked,grain
65-759-3721,Butter Biscuit,Bakery,33,20,Low,bakery_dining
08-725-8156,Tilapia,Seafood,59,57,Low,set_meal
15-679-3935,Grapes,Fruits & Vegetables,22,34,Low,nutrition
81-578-7404,Gouda Cheese,Dairy,67,73,Low,egg
82-380-5378,Cheese,Dairy,78,60,Stocked,egg
78-362-8578,Lemon,Fruits & Vegetables,72,25,Stocked,nutrition
32-261-0008,Heavy Cream,Dairy,63,21,Stocked,egg
74-943-9034,White Bread,Bakery,30,97,Low,bakery_dining
86-330-0214,Arabica Coffee,Beverages,36,91,Low,coffee
80-334-0215,Grapes,Fruits & Vegetables,88,57,Stocked,nutrition
48-957-8596,Banana,Fruits & Vegetables,95,87,Stocked,nutrition
37-246-0018,Broccoli,Fruits & Vegetables,30,61,Low,nutrition
17-002-4721,Green Beans,Fruits & Vegetables,31,71,Low,nutrition
47-802-5023,Cod,Seafood,16,81,Low,set_meal
22-319-1377,White Sugar,Grains & Pulses,14,39,Low,grain
57-903-6434,Tomato,Fruits & Vegetables,44,82,Low,nutrition
22-083-3347,Long Grain Rice,Grains & Pulses,69,34,Low,grain
65-145-9672,Long Grain Rice,Grains & Pulses,71,66,Stocked,grain
95-252-9619,Carrot,Fruits & Vegetables,92,30,Stocked,nutrition
74-294-3760,Peanut Oil,Oils & Fats,49,45,Stocked,water_drop
06-797-4963,Pomegranate,Fruits & Vegetables,52,38,Stocked,nutrition
39-768-8205,Egg (Turkey),Dairy,56,82,Low,egg
03-043-9933,Strawberries,Fruits & Vegetables,16,50,Low,nutrition
29-823-6004,Zucchini,Fruits & Vegetables,52,36,Low,nutrition
40-462-2952,Trout,Seafood,91,81,Stocked,set_meal
71-999-2404,Mango,Fruits & Vegetables,58,85,Low,nutrition
03-919-9890,Halibut,Seafood,47,61,Stocked,set_meal
94-525-6925,Rye Bread,Bakery,50,70,Low,bakery_dining
08-213-2058,Sour Cream,Dairy,43,59,Low,egg
51-312-8608,Cheddar Cheese,Dairy,68,79,Stocked,egg
67-512-9754,Egg (Turkey),Dairy,19,66,Critical,egg
45-402-0421,Swiss Cheese,Dairy,70,71,Low,egg
85-207-4164,Eggplant,Fruits & Vegetables,97,29,Stocked,nutrition
72-780-6006,Sunflower Oil,Oils & Fats,87,83,Stocked,water_drop
93-166-3169,White Tea,Beverages,58,85,Low,coffee
21-718-6746,Coconut,Fruits & Vegetables,16,21,Low,nutrition
93-966-7754,Pineapple,Fruits & Vegetables,65,25,Stocked,nutrition
47-663-5703,Basmati Rice,Grains & Pulses,15,68,Low,grain
34-110-1040,Bell Pepper,Fruits & Vegetables,75,26,Low,nutrition
82-342-7339,Vanilla Biscuit,Bakery,80,63,Stocked,bakery_dining
43-670-8544,Orange,Fruits & Vegetables,84,48,Low,nutrition
12-439-8428,Eggplant,Fruits & Vegetables,17,49,Stocked,nutrition
49-919-8798,Evaporated Milk,Dairy,64,85,Stocked,egg
73-567-6194,Whipped Cream,Dairy,76,65,Low,egg
83-573-4586,Sesame Oil,Oils & Fats,77,29,Low,water_drop
12-798-9401,Cream,Dairy,18,78,Stocked,egg
02-895-7781,Coconut Sugar,Grains & Pulses,51,21,Low,grain
83-625-3618,Asparagus,Fruits & Vegetables,68,84,Stocked,nutrition
89-181-4523,Wild Rice,Grains & Pulses,46,63,Stocked,grain
95-354-8583,Long Grain Rice,Grains & Pulses,98,30,Stocked,grain
90-303-1821,Onion,Fruits & Vegetables,50,30,Stocked,nutrition
71-631-5875,Salmon,Seafood,88,61,Stocked,set_meal
02-275-6061,Potato,Fruits & Vegetables,26,64,Stocked,nutrition
04-001-1793,Green Coffee,Beverages,43,88,Stocked,coffee
47-749-3277,Powdered Sugar,Grains & Pulses,46,54,Stocked,grain
37-666-3902,Cauliflower,Fruits & Vegetables,19,70,Critical,nutrition
73-942-0508,Kale,Fruits & Vegetables,61,76,Low,nutrition
57-359-3397,Garlic,Fruits & Vegetables,43,95,Stocked,nutrition
46-436-5351,Green Tea,Beverages,80,81,Stocked,coffee
27-881-1177,Green Tea,Beverages,34,97,Low,coffee
85-237-3505,Green Tea,Beverages,88,78,Stocked,coffee
80-371-3695,Cottage Cheese,Dairy,89,94,Stocked,egg
04-758-0410,Wild Rice,Grains & Pulses,26,40,Stocked,grain
65-644-1394,Pear,Fruits & Vegetables,26,92,Critical,nutrition
04-293-6969,Peach,Fruits & Vegetables,37,93,Low,nutrition
40-997-2786,Yogurt,Dairy,76,62,Low,egg
91-553-1774,Feta Cheese,Dairy,80,64,Stocked,egg
13-980-8804,Sweet Potato,Fruits & Vegetables,100,98,Stocked,nutrition
19-672-8982,Butter,Dairy,21,64,Critical,egg
35-299-0889,Coconut Oil,Oils & Fats,33,60,Low,water_drop
17-022-9721,Apple,Fruits & Vegetables,43,39,Low,nutrition
22-849-2551,Mushrooms,Fruits & Vegetables,34,58,Stocked,nutrition
53-050-8242,Mackerel,Seafood,82,66,Stocked,set_meal
88-183-5781,Whole Wheat Bread,Bakery,17,93,Critical,bakery_dining
09-101-1740,Sushi Rice,Grains & Pulses,36,73,Low,grain
98-445-7372,Cod,Seafood,65,56,Low,set_meal
29-875-6900,Papaya,Fruits & Vegetables,45,35,Stocked,nutrition
27-757-4489,Egg (Goose),Dairy,35,95,Low,egg
51-069-0489,Bread Flour,Grains & Pulses,96,81,Stocked,grain
20-325-1965,Coconut,Fruits & Vegetables,56,42,Low,nutrition
76-090-4411,Ricotta Cheese,Dairy,49,38,Low,egg
01-703-8441,Raw Sugar,Grains & Pulses,100,76,Stocked,grain
09-622-7119,Haddock,Seafood,30,99,Low,set_meal
45-172-7012,Papaya,Fruits & Vegetables,20,35,Critical,nutrition
06-849-4869,Sesame Oil,Oils & Fats,85,46,Stocked,water_drop
30-996-2526,Green Beans,Fruits & Vegetables,86,98,Low,nutrition
71-074-6292,Sourdough Bread,Bakery,65,100,Low,bakery_dining
98-909-9395,Cottage Cheese,Dairy,67,35,Low,egg
61-796-6540,Ricotta Cheese,Dairy,88,23,Stocked,egg
41-735-9837,Robusta Coffee,Beverages,14,32,Critical,coffee
60-343-3288,Tilapia,Seafood,85,54,Low,set_meal
27-783-5470,Feta Cheese,Dairy,74,21,Stocked,egg
60-456-8169,Cheddar Cheese,Dairy,21,69,Low,egg
99-420-3592,Butter Biscuit,Bakery,22,47,Low,bakery_dining
