alert_id,type,title,message,item_id,time_ago,risk_score
ALT-0881,critical,Critical Stock Level,Avocado Oil has dropped to 14 units (threshold: 75),05-899-1428,43 mins ago,100
ALT-0905,critical,Critical Stock Level,Vegetable Oil has dropped to 18 units (threshold: 72),48-289-0604,5 mins ago,100
ALT-0927,critical,Critical Stock Level,Corn Oil has dropped to 26 units (threshold: 100),87-391-9658,1 hour ago,100
ALT-0945,critical,Critical Stock Level,Green Coffee has dropped to 20 units (threshold: 68),35-031-1497,1 hour ago,100
ALT-0963,critical,Critical Stock Level,Black Tea has dropped to 19 units (threshold: 78),95-262-6208,1 hour ago,100
ALT-0978,critical,Critical Stock Level,White Rice has dropped to 18 units (threshold: 86),86-273-9377,2 hours ago,100
ALT-0987,critical,Critical Stock Level,Wild Rice has dropped to 19 units (threshold: 77),50-329-3360,1 hour ago,100
ALT-1000,critical,Critical Stock Level,Milk has dropped to 12 units (threshold: 54),50-329-3145,1 hour ago,100
ALT-1008,critical,Critical Stock Level,Watermelon has dropped to 13 units (threshold: 88),19-854-3663,23 mins ago,100
ALT-1078,critical,Critical Stock Level,Green Beans has dropped to 19 units (threshold: 92),93-014-4256,53 mins ago,100
ALT-1085,critical,Critical Stock Level,Rice Flour has dropped to 25 units (threshold: 95),53-710-7630,12 mins ago,100
ALT-1123,critical,Critical Stock Level,Strawberries has dropped to 26 units (threshold: 97),80-039-1261,1 hour ago,100
ALT-1125,critical,Critical Stock Level,Arabica Coffee has dropped to 13 units (threshold: 55),48-427-0551,1 hour ago,100
ALT-1127,critical,Critical Stock Level,Plum has dropped to 11 units (threshold: 58),02-575-1980,1 hour ago,100
ALT-1150,critical,Critical Stock Level,Tilapia has dropped to 14 units (threshold: 52),94-355-3070,6 mins ago,100
ALT-1157,critical,Critical Stock Level,Haddock has dropped to 11 units (threshold: 87),88-807-8431,1 hour ago,100
ALT-1212,critical,Critical Stock Level,Canola Oil has dropped to 25 units (threshold: 97),24-143-4957,42 mins ago,100
ALT-1221,critical,Critical Stock Level,Pineapple has dropped to 14 units (threshold: 81),27-269-5260,23 mins ago,100
ALT-1235,critical,Critical Stock Level,Bread Flour has dropped to 11 units (threshold: 77),58-946-5152,11 mins ago,100
ALT-1256,critical,Critical Stock Level,Cucumber has dropped to 12 units (threshold: 93),79-884-8810,1 hour ago,100
ALT-1261,critical,Critical Stock Level,Evaporated Milk has dropped to 23 units (threshold: 99),39-913-2999,7 mins ago,100
ALT-1269,critical,Critical Stock Level,Black Rice has dropped to 11 units (threshold: 58),80-020-8041,37 mins ago,100
ALT-1276,critical,Critical Stock Level,Canola Oil has dropped to 19 units (threshold: 80),42-134-9798,58 mins ago,100
ALT-1293,critical,Critical Stock Level,Almond Flour has dropped to 12 units (threshold: 56),74-234-0628,32 mins ago,100
ALT-1321,critical,Critical Stock Level,Haddock has dropped to 19 units (threshold: 99),57-167-0669,52 mins ago,100
ALT-1346,critical,Critical Stock Level,Black Rice has dropped to 18 units (threshold: 78),45-050-4720,29 mins ago,100
ALT-1420,critical,Critical Stock Level,Short Grain Rice has dropped to 22 units (threshold: 77),29-377-7040,55 mins ago,100
ALT-1431,critical,Critical Stock Level,Halibut has dropped to 14 units (threshold: 67),37-610-1999,1 hour ago,100
ALT-1438,critical,Critical Stock Level,Lime has dropped to 14 units (threshold: 75),43-851-9440,37 mins ago,100
ALT-1440,critical,Critical Stock Level,Avocado Oil has dropped to 24 units (threshold: 89),14-331-3739,55 mins ago,100
ALT-0071,critical,Critical Stock Level,Bread Flour has dropped to 14 units (threshold: 74),05-334-2923,33 mins ago,99
ALT-0245,critical,Critical Stock Level,Sesame Oil has dropped to 27 units (threshold: 92),76-325-9093,33 mins ago,99
ALT-0747,critical,Critical Stock Level,Corn Oil has dropped to 17 units (threshold: 63),12-046-2988,31 mins ago,99
ALT-0934,critical,Critical Stock Level,Onion has dropped to 16 units (threshold: 75),53-667-4109,1 hour ago,99
ALT-0442,critical,Critical Stock Level,Plum has dropped to 11 units (threshold: 56),07-074-1196,1 hour ago,98
ALT-0613,critical,Critical Stock Level,Robusta Coffee has dropped to 14 units (threshold: 77),41-735-9837,37 mins ago,98
ALT-0108,critical,Critical Stock Level,Heavy Cream has dropped to 12 units (threshold: 60),65-464-5070,1 hour ago,97
ALT-0276,critical,Critical Stock Level,Arabica Coffee has dropped to 21 units (threshold: 87),83-704-6367,1 hour ago,97
ALT-0755,critical,Critical Stock Level,Cabbage has dropped to 12 units (threshold: 95),21-013-3508,47 mins ago,97
ALT-0156,critical,Critical Stock Level,Almond Flour has dropped to 13 units (threshold: 88),62-509-0666,51 mins ago,96
ALT-0302,critical,Critical Stock Level,Rye Bread has dropped to 28 units (threshold: 94),97-710-2449,1 hour ago,96
ALT-0922,critical,Critical Stock Level,Basmati Rice has dropped to 11 units (threshold: 87),83-727-0814,1 hour ago,96
ALT-0002,critical,Product Expired,Sushi Rice expired on 9/19/2024,29-205-1132,11 hours ago,95
ALT-0004,critical,Product Expired,Arabica Coffee expired on 5/8/2024,40-681-9981,6 hours ago,95
ALT-0006,critical,Product Expired,Black Rice expired on 9/22/2024,06-955-3428,15 hours ago,95
ALT-0008,critical,Product Expired,Long Grain Rice expired on 4/17/2024,71-594-6552,7 hours ago,95
ALT-0009,critical,Product Expired,Plum expired on 10/5/2024,57-437-1828,5 hours ago,95
ALT-0010,critical,Product Expired,All-Purpose Flour expired on 9/5/2024,21-120-6238,2 hours ago,95
ALT-0011,critical,Product Expired,Corn Oil expired on 6/20/2024,71-516-1996,20 hours ago,95
ALT-0013,critical,Product Expired,Egg (Goose) expired on 2/5/2025,39-629-5554,7 hours ago,95
ALT-0014,critical,Product Expired,Greek Yogurt expired on 1/8/2025,66-268-8345,5 hours ago,95
ALT-0015,critical,Product Expired,Egg (Duck) expired on 7/8/2024,46-452-9419,11 hours ago,95
ALT-0017,critical,Product Expired,Long Grain Rice expired on 1/7/2025,51-469-4611,5 hours ago,95
ALT-0019,critical,Product Expired,White Sugar expired on 10/14/2024,42-220-9305,10 hours ago,95
ALT-0021,critical,Product Expired,Rye Bread expired on 7/18/2024,75-094-1179,22 hours ago,95
ALT-0022,critical,Product Expired,Plum expired on 5/6/2024,11-073-0189,20 hours ago,95
ALT-0023,critical,Product Expired,Strawberries expired on 6/14/2024,22-621-2774,22 hours ago,95
ALT-0024,critical,Product Expired,Feta Cheese expired on 10/5/2024,39-449-0772,9 hours ago,95
ALT-0026,critical,Product Expired,Bread Flour expired on 4/5/2024,55-936-2406,19 hours ago,95
ALT-0028,critical,Product Expired,Swiss Cheese expired on 7/1/2024,82-041-7211,4 hours ago,95
ALT-0030,critical,Product Expired,Arabica Coffee expired on 5/5/2024,48-414-6162,18 hours ago,95
ALT-0031,critical,Product Expired,White Sugar expired on 12/28/2024,76-854-0095,9 hours ago,95
ALT-0032,critical,Product Expired,Spinach expired on 6/22/2024,25-349-7974,12 hours ago,95
ALT-0034,critical,Product Expired,Trout expired on 9/3/2024,66-627-9752,7 hours ago,95
ALT-0036,critical,Product Expired,Green Beans expired on 4/25/2024,78-614-4402,7 hours ago,95
ALT-0037,critical,Product Expired,Cabbage expired on 8/12/2024,67-025-1245,21 hours ago,95
ALT-0038,critical,Product Expired,Parmesan Cheese expired on 9/30/2024,68-418-6724,13 hours ago,95
ALT-0040,critical,Product Expired,Raw Sugar expired on 5/30/2024,40-795-0753,4 hours ago,95
ALT-0041,critical,Product Expired,Egg (Quail) expired on 6/26/2024,02-508-3777,19 hours ago,95
ALT-0043,critical,Product Expired,Mushrooms expired on 3/17/2024,79-741-0770,2 hours ago,95
ALT-0044,critical,Product Expired,Oatmeal Biscuit expired on 2/7/2025,31-211-5803,8 hours ago,95
ALT-0045,critical,Product Expired,Pear expired on 12/20/2024,16-499-5059,17 hours ago,95
ALT-0047,critical,Product Expired,Cucumber expired on 3/6/2024,76-340-4432,12 hours ago,95
ALT-0049,critical,Product Expired,Pineapple expired on 9/28/2024,38-732-7667,13 hours ago,95
ALT-0051,critical,Product Expired,Olive Oil expired on 3/5/2024,04-240-2226,1 hour ago,95
ALT-0052,critical,Product Expired,Herbal Tea expired on 6/23/2024,79-136-9840,23 hours ago,95
ALT-0053,critical,Product Expired,Haddock expired on 12/26/2024,73-401-5721,22 hours ago,95
ALT-0054,critical,Product Expired,Onion expired on 10/28/2024,91-848-0606,18 hours ago,95
ALT-0055,critical,Product Expired,Sushi Rice expired on 2/16/2025,54-109-8062,20 hours ago,95
ALT-0057,critical,Product Expired,Pineapple expired on 10/30/2024,70-612-2531,13 hours ago,95
ALT-0059,critical,Product Expired,Zucchini expired on 9/19/2024,26-161-6692,12 hours ago,95
ALT-0061,critical,Product Expired,Short Grain Rice expired on 8/24/2024,43-893-5408,23 hours ago,95
ALT-0063,critical,Product Expired,Mango expired on 11/25/2024,11-316-8405,4 hours ago,95
ALT-0064,critical,Product Expired,Lemon expired on 6/5/2024,34-086-3222,1 hour ago,95
ALT-0065,critical,Product Expired,Black Coffee expired on 7/22/2024,21-816-1004,21 hours ago,95
ALT-0067,critical,Product Expired,Butter expired on 9/22/2024,43-693-2092,2 hours ago,95
ALT-0068,critical,Product Expired,Multigrain Bread expired on 1/24/2025,63-270-7076,14 hours ago,95
ALT-0070,critical,Product Expired,Long Grain Rice expired on 11/17/2024,90-230-9767,21 hours ago,95
ALT-0072,critical,Product Expired,Bread Flour expired on 5/16/2024,05-334-2923,20 hours ago,95
ALT-0073,critical,Product Expired,Kiwi expired on 2/15/2025,52-481-5224,1 hour ago,95
ALT-0074,critical,Product Expired,Mango expired on 3/26/2024,11-325-7396,15 hours ago,95
ALT-0076,critical,Product Expired,Sourdough Bread expired on 11/12/2024,70-854-6891,1 hour ago,95
ALT-0077,critical,Product Expired,Short Grain Rice expired on 5/15/2024,46-520-1819,10 hours ago,95
ALT-0078,critical,Product Expired,Orange expired on 2/2/2025,91-105-7317,5 hours ago,95
ALT-0080,critical,Product Expired,Pineapple expired on 3/5/2024,40-751-8635,13 hours ago,95
ALT-0081,critical,Product Expired,White Bread expired on 5/22/2024,02-920-4829,15 hours ago,95
ALT-0083,critical,Product Expired,Green Coffee expired on 11/28/2024,36-918-2937,15 hours ago,95
ALT-0084,critical,Product Expired,Zucchini expired on 2/2/2025,68-761-6907,19 hours ago,95
ALT-0086,critical,Product Expired,Sourdough Bread expired on 11/26/2024,69-468-5468,7 hours ago,95
ALT-0087,critical,Product Expired,Orange expired on 3/19/2024,27-635-8394,3 hours ago,95
ALT-0088,critical,Product Expired,Sardines expired on 6/26/2024,41-729-5410,19 hours ago,95
ALT-0089,critical,Product Expired,Olive Oil expired on 8/27/2024,33-335-9140,20 hours ago,95
ALT-0091,critical,Product Expired,Carrot expired on 9/26/2024,11-581-9869,18 hours ago,95
ALT-0092,critical,Product Expired,Black Tea expired on 1/13/2025,78-237-0277,8 hours ago,95
ALT-0093,critical,Product Expired,Pear expired on 8/8/2024,75-152-8731,1 hour ago,95
ALT-0094,critical,Product Expired,Olive Oil expired on 2/16/2025,65-718-0492,4 hours ago,95
ALT-0096,critical,Product Expired,Ricotta Cheese expired on 9/24/2024,55-697-5242,17 hours ago,95
ALT-0097,critical,Product Expired,Black Coffee expired on 3/3/2024,14-844-4138,22 hours ago,95
ALT-0098,critical,Product Expired,White Tea expired on 3/17/2024,20-225-3930,14 hours ago,95
ALT-0100,critical,Product Expired,Cucumber expired on 6/24/2024,66-993-4234,4 hours ago,95
ALT-0102,critical,Product Expired,Mozzarella Cheese expired on 2/9/2025,87-762-1317,5 hours ago,95
ALT-0104,critical,Product Expired,Broccoli expired on 5/11/2024,81-844-2979,20 hours ago,95
ALT-0105,critical,Product Expired,Eggplant expired on 1/8/2025,44-408-7594,16 hours ago,95
ALT-0107,critical,Product Expired,Trout expired on 1/9/2025,26-010-9519,21 hours ago,95
ALT-0109,critical,Product Expired,Heavy Cream expired on 9/1/2024,65-464-5070,20 hours ago,95
ALT-0110,critical,Product Expired,Bell Pepper expired on 7/12/2024,07-970-9352,2 hours ago,95
ALT-0112,critical,Product Expired,Onion expired on 11/14/2024,88-746-9468,21 hours ago,95
ALT-0113,critical,Product Expired,Sardines expired on 8/24/2024,06-336-5482,19 hours ago,95
ALT-0114,critical,Product Expired,Mango expired on 12/20/2024,03-276-3931,13 hours ago,95
ALT-0116,critical,Product Expired,Arborio Rice expired on 2/15/2025,39-232-5341,8 hours ago,95
ALT-0118,critical,Product Expired,Potato expired on 10/27/2024,12-239-9399,7 hours ago,95
ALT-0120,critical,Product Expired,Corn Oil expired on 9/9/2024,75-080-4909,11 hours ago,95
ALT-0122,critical,Product Expired,Butter Biscuit expired on 8/30/2024,70-815-4015,2 hours ago,95
ALT-0123,critical,Product Expired,Peas expired on 8/19/2024,11-032-9778,20 hours ago,95
ALT-0124,critical,Product Expired,Cream expired on 3/21/2024,54-374-9986,5 hours ago,95
ALT-0125,critical,Product Expired,Spinach expired on 10/1/2024,77-312-6317,12 hours ago,95
ALT-0127,critical,Product Expired,Sardines expired on 3/24/2024,13-844-2178,4 hours ago,95
ALT-0128,critical,Product Expired,White Sugar expired on 4/30/2024,22-141-9798,11 hours ago,95
ALT-0130,critical,Product Expired,Bread Flour expired on 2/22/2025,20-022-3173,9 hours ago,95
ALT-0131,critical,Product Expired,Cucumber expired on 1/21/2025,26-177-5690,4 hours ago,95
ALT-0132,critical,Product Expired,Swiss Cheese expired on 6/17/2024,70-871-4536,21 hours ago,95
ALT-0133,critical,Product Expired,Peanut Oil expired on 11/16/2024,06-611-5454,1 hour ago,95
ALT-0134,critical,Product Expired,Blueberries expired on 2/6/2025,89-543-3456,5 hours ago,95
ALT-0136,critical,Product Expired,Chocolate Biscuit expired on 2/20/2025,82-395-5070,11 hours ago,95
ALT-0138,critical,Product Expired,Cheese expired on 3/20/2024,14-305-5348,18 hours ago,95
ALT-0140,critical,Product Expired,Palm Oil expired on 2/11/2025,82-243-3180,23 hours ago,95
ALT-0141,critical,Product Expired,Eggplant expired on 7/31/2024,25-010-9478,5 hours ago,95
ALT-0142,critical,Product Expired,Garlic expired on 5/20/2024,13-202-4809,8 hours ago,95
ALT-0143,critical,Product Expired,Jasmine Rice expired on 12/7/2024,67-270-7464,19 hours ago,95
ALT-0145,critical,Product Expired,Rice Flour expired on 2/24/2025,11-733-1756,7 hours ago,95
ALT-0147,critical,Product Expired,Zucchini expired on 4/19/2024,80-988-4653,1 hour ago,95
ALT-0149,critical,Product Expired,Multigrain Bread expired on 4/9/2024,60-343-7973,12 hours ago,95
ALT-0150,critical,Product Expired,Ricotta Cheese expired on 1/6/2025,34-861-4446,17 hours ago,95
ALT-0152,critical,Product Expired,Bread Flour expired on 2/25/2024,67-710-5120,16 hours ago,95
ALT-0153,critical,Product Expired,Cottage Cheese expired on 11/28/2024,49-891-4927,1 hour ago,95
ALT-0155,critical,Product Expired,Whipped Cream expired on 9/7/2024,55-522-8242,8 hours ago,95
ALT-0157,critical,Product Expired,Almond Flour expired on 7/3/2024,62-509-0666,12 hours ago,95
ALT-0159,critical,Product Expired,Lemon expired on 11/19/2024,64-478-4745,4 hours ago,95
ALT-0160,critical,Product Expired,Tilapia expired on 3/8/2024,35-835-5591,16 hours ago,95
ALT-0161,critical,Product Expired,Lettuce expired on 4/6/2024,26-690-3784,10 hours ago,95
ALT-0162,critical,Product Expired,Peanut Oil expired on 3/28/2024,67-546-1568,2 hours ago,95
ALT-0163,critical,Product Expired,Sardines expired on 7/18/2024,67-625-9704,3 hours ago,95
ALT-0165,critical,Product Expired,Arabica Coffee expired on 1/15/2025,31-969-4614,2 hours ago,95
ALT-0166,critical,Product Expired,Coconut expired on 12/23/2024,50-364-5828,16 hours ago,95
ALT-0168,critical,Product Expired,Cod expired on 3/24/2024,61-827-4098,9 hours ago,95
ALT-0169,critical,Product Expired,Banana expired on 2/2/2025,87-698-0944,12 hours ago,95
ALT-0171,critical,Product Expired,Black Rice expired on 5/30/2024,36-636-4873,5 hours ago,95
ALT-0173,critical,Product Expired,Pomegranate expired on 8/27/2024,98-556-5323,5 hours ago,95
ALT-0174,critical,Product Expired,Pineapple expired on 7/14/2024,97-772-2336,18 hours ago,95
ALT-0176,critical,Product Expired,Peach expired on 4/30/2024,19-047-4239,3 hours ago,95
ALT-0177,critical,Product Expired,Arborio Rice expired on 9/21/2024,41-316-8427,20 hours ago,95
ALT-0179,critical,Product Expired,Plum expired on 2/20/2025,15-907-3681,10 hours ago,95
ALT-0180,critical,Product Expired,Sushi Rice expired on 3/10/2024,14-305-9690,4 hours ago,95
ALT-0181,critical,Product Expired,Arabica Coffee expired on 2/5/2025,40-860-4532,9 hours ago,95
ALT-0182,critical,Product Expired,Pear expired on 1/19/2025,44-552-3909,12 hours ago,95
ALT-0184,critical,Product Expired,Sourdough Bread expired on 4/1/2024,75-029-9003,21 hours ago,95
ALT-0185,critical,Product Expired,Pear expired on 3/2/2024,74-587-2065,11 hours ago,95
ALT-0187,critical,Product Expired,Heavy Cream expired on 6/26/2024,70-149-6756,15 hours ago,95
ALT-0189,critical,Product Expired,White Rice expired on 5/6/2024,29-896-7926,21 hours ago,95
ALT-0190,critical,Product Expired,Cauliflower expired on 1/3/2025,54-822-9009,19 hours ago,95
ALT-0191,critical,Product Expired,Canola Oil expired on 2/22/2025,84-075-7647,17 hours ago,95
ALT-0192,critical,Product Expired,Avocado Oil expired on 9/28/2024,88-602-8210,20 hours ago,95
ALT-0194,critical,Product Expired,Bread Flour expired on 12/22/2024,04-542-3863,4 hours ago,95
ALT-0195,critical,Product Expired,Gouda Cheese expired on 8/29/2024,57-613-5779,14 hours ago,95
ALT-0197,critical,Product Expired,Black Rice expired on 5/17/2024,90-737-0044,6 hours ago,95
ALT-0198,critical,Product Expired,Greek Yogurt expired on 9/5/2024,28-956-1320,22 hours ago,95
ALT-0200,critical,Product Expired,Tuna expired on 9/1/2024,87-791-5803,21 hours ago,95
ALT-0201,critical,Product Expired,Buttermilk expired on 3/6/2024,14-521-4167,10 hours ago,95
ALT-0203,critical,Product Expired,Orange expired on 4/28/2024,51-572-5497,22 hours ago,95
ALT-0205,critical,Product Expired,Pomegranate expired on 9/12/2024,28-840-6096,12 hours ago,95
ALT-0207,critical,Product Expired,Tuna expired on 3/30/2024,44-538-3366,15 hours ago,95
ALT-0209,critical,Product Expired,Sour Cream expired on 12/14/2024,51-459-5630,10 hours ago,95
ALT-0210,critical,Product Expired,Rice Flour expired on 6/20/2024,02-655-3240,12 hours ago,95
ALT-0212,critical,Product Expired,Long Grain Rice expired on 3/30/2024,42-887-6557,3 hours ago,95
ALT-0213,critical,Product Expired,Bell Pepper expired on 7/7/2024,96-316-7600,11 hours ago,95
ALT-0214,critical,Product Expired,Bell Pepper expired on 9/22/2024,58-063-8633,7 hours ago,95
ALT-0216,critical,Product Expired,Pineapple expired on 2/17/2025,43-703-9939,2 hours ago,95
ALT-0218,critical,Product Expired,Cod expired on 5/1/2024,88-069-5486,2 hours ago,95
ALT-0220,critical,Product Expired,Green Tea expired on 4/29/2024,74-845-3299,1 hour ago,95
ALT-0221,critical,Product Expired,Sardines expired on 3/6/2024,81-605-6246,7 hours ago,95
ALT-0223,critical,Product Expired,Sourdough Bread expired on 9/29/2024,73-561-2867,9 hours ago,95
ALT-0225,critical,Product Expired,Short Grain Rice expired on 11/6/2024,19-967-0632,12 hours ago,95
ALT-0226,critical,Product Expired,Powdered Sugar expired on 12/28/2024,23-070-2433,9 hours ago,95
ALT-0227,critical,Product Expired,Swiss Cheese expired on 10/9/2024,27-262-2437,2 hours ago,95
ALT-0228,critical,Product Expired,Tuna expired on 4/4/2024,39-479-5147,4 hours ago,95
ALT-0230,critical,Product Expired,Cucumber expired on 12/4/2024,71-085-4290,7 hours ago,95
ALT-0232,critical,Product Expired,Eggplant expired on 8/5/2024,48-957-6116,12 hours ago,95
ALT-0234,critical,Product Expired,Garlic expired on 5/11/2024,83-917-7384,2 hours ago,95
ALT-0236,critical,Product Expired,Vegetable Oil expired on 4/19/2024,26-031-8070,21 hours ago,95
ALT-0238,critical,Product Expired,Whipped Cream expired on 3/26/2024,03-149-9760,12 hours ago,95
ALT-0239,critical,Product Expired,Cheddar Cheese expired on 8/24/2024,53-680-5293,14 hours ago,95
ALT-0240,critical,Product Expired,Coconut expired on 8/10/2024,49-861-7823,13 hours ago,95
ALT-0242,critical,Product Expired,Egg (Turkey) expired on 9/25/2024,24-364-3341,19 hours ago,95
ALT-0244,critical,Product Expired,Herbal Tea expired on 12/7/2024,80-374-5711,8 hours ago,95
ALT-0246,critical,Product Expired,Sesame Oil expired on 12/18/2024,76-325-9093,22 hours ago,95
ALT-0248,critical,Product Expired,Black Rice expired on 1/15/2025,30-429-2162,14 hours ago,95
ALT-0250,critical,Product Expired,Orange expired on 4/23/2024,53-446-8243,10 hours ago,95
ALT-0251,critical,Product Expired,Black Tea expired on 4/19/2024,67-473-7093,17 hours ago,95
ALT-0253,critical,Product Expired,Asparagus expired on 1/26/2025,98-235-2711,14 hours ago,95
ALT-0254,critical,Product Expired,Palm Oil expired on 11/8/2024,07-219-8017,6 hours ago,95
ALT-0256,critical,Product Expired,Swiss Cheese expired on 5/17/2024,97-040-3822,19 hours ago,95
ALT-0258,critical,Product Expired,Mango expired on 11/11/2024,10-002-6494,5 hours ago,95
ALT-0259,critical,Product Expired,Egg (Turkey) expired on 5/26/2024,12-998-3882,8 hours ago,95
ALT-0260,critical,Product Expired,Whole Wheat Flour expired on 9/6/2024,31-746-4951,9 hours ago,95
ALT-0262,critical,Product Expired,Robusta Coffee expired on 3/26/2024,87-097-5691,6 hours ago,95
ALT-0263,critical,Product Expired,Watermelon expired on 12/3/2024,34-075-0371,6 hours ago,95
ALT-0264,critical,Product Expired,Green Coffee expired on 5/23/2024,40-810-9261,13 hours ago,95
ALT-0266,critical,Product Expired,Cream expired on 9/15/2024,46-931-6897,9 hours ago,95
ALT-0268,critical,Product Expired,Oatmeal Biscuit expired on 11/15/2024,58-182-6781,9 hours ago,95
ALT-0270,critical,Product Expired,Green Tea expired on 3/15/2024,06-706-6490,10 hours ago,95
ALT-0271,critical,Product Expired,Anchovies expired on 9/14/2024,47-578-4161,1 hour ago,95
ALT-0273,critical,Product Expired,Cheddar Cheese expired on 10/30/2024,18-199-5799,10 hours ago,95
ALT-0275,critical,Product Expired,Avocado Oil expired on 12/13/2024,00-357-2313,18 hours ago,95
ALT-0277,critical,Product Expired,Arabica Coffee expired on 9/7/2024,83-704-6367,14 hours ago,95
ALT-0278,critical,Product Expired,Trout expired on 7/13/2024,01-144-5960,19 hours ago,95
ALT-0279,critical,Product Expired,Cod expired on 10/22/2024,96-774-0457,20 hours ago,95
ALT-0280,critical,Product Expired,Rye Bread expired on 4/8/2024,24-310-9184,7 hours ago,95
ALT-0281,critical,Product Expired,Basmati Rice expired on 1/28/2025,10-255-8579,17 hours ago,95
ALT-0283,critical,Product Expired,White Sugar expired on 12/23/2024,38-417-4656,23 hours ago,95
ALT-0285,critical,Product Expired,Sourdough Bread expired on 11/20/2024,53-080-8252,22 hours ago,95
ALT-0287,critical,Product Expired,White Tea expired on 5/18/2024,14-681-7035,15 hours ago,95
ALT-0288,critical,Product Expired,White Bread expired on 1/19/2025,96-503-7712,9 hours ago,95
ALT-0289,critical,Product Expired,Mozzarella Cheese expired on 11/11/2024,98-064-4465,10 hours ago,95
ALT-0291,critical,Product Expired,Peanut Oil expired on 6/15/2024,84-198-7276,23 hours ago,95
ALT-0292,critical,Product Expired,Gouda Cheese expired on 7/2/2024,18-278-2383,20 hours ago,95
ALT-0293,critical,Product Expired,Chocolate Biscuit expired on 2/25/2024,20-054-3716,18 hours ago,95
ALT-0295,critical,Product Expired,Pomegranate expired on 2/27/2024,63-822-5278,4 hours ago,95
ALT-0297,critical,Product Expired,Sunflower Oil expired on 12/9/2024,01-439-6231,23 hours ago,95
