shipment_id,product_id,product_name,quantity,supplier,expected_date,status,priority
SHP-00575,29-377-7040,Short Grain Rice,15,Brightdog,2025-12-26,arriving_today,urgent
SHP-00583,43-851-9440,Lime,19,Camido,2025-12-26,arriving_today,urgent
SHP-00002,40-681-9981,Arabica Coffee,2,Feedmix,2025-12-27,in_transit,high
SHP-00007,42-220-9305,White Sugar,6,Zooxo,2025-12-27,in_transit,high
SHP-00012,55-936-2406,Bread Flour,88,Mynte,2025-12-27,in_transit,urgent
SHP-00022,76-340-4432,Cucumber,72,Brainverse,2025-12-27,in_transit,high
SHP-00026,70-612-2531,Pineapple,39,Flipbug,2025-12-27,in_transit,high
SHP-00028,43-893-5408,Short Grain Rice,85,Snaptags,2025-12-27,in_transit,high
SHP-00032,05-334-2923,Bread Flour,71,Browsezoom,2025-12-27,in_transit,urgent
SHP-00038,36-918-2937,Green Coffee,18,Kwinu,2025-12-27,in_transit,high
SHP-00041,11-581-9869,Carrot,98,Avaveo,2025-12-27,in_transit,high
SHP-00045,81-844-2979,Broccoli,46,Realblab,2025-12-27,in_transit,high
SHP-00046,26-010-9519,Trout,96,Blogtag,2025-12-27,in_transit,high
SHP-00049,88-746-9468,Onion,74,Skiba,2025-12-27,in_transit,high
SHP-00052,12-239-9399,Potato,27,Tagtune,2025-12-27,in_transit,high
SHP-00059,82-243-3180,Palm Oil,80,Zooxo,2025-12-27,in_transit,high
SHP-00060,11-733-1756,Rice Flour,53,Mynte,2025-12-27,in_transit,high
SHP-00076,19-047-4239,Peach,73,Quire,2025-12-27,in_transit,high
SHP-00082,04-542-3863,Bread Flour,45,Eidel,2025-12-27,in_transit,high
SHP-00091,43-703-9939,Pineapple,35,Bubblemix,2025-12-27,in_transit,high
SHP-00094,73-561-2867,Sourdough Bread,98,Eayo,2025-12-27,in_transit,urgent
SHP-00095,19-967-0632,Short Grain Rice,54,Yombu,2025-12-27,in_transit,high
SHP-00097,48-957-6116,Eggplant,9,Topicstorm,2025-12-27,in_transit,high
SHP-00100,03-149-9760,Whipped Cream,93,Yotz,2025-12-27,in_transit,high
SHP-00109,97-040-3822,Swiss Cheese,73,Gevee,2025-12-27,in_transit,high
SHP-00113,58-182-6781,Oatmeal Biscuit,22,Pixope,2025-12-27,in_transit,high
SHP-00115,18-199-5799,Cheddar Cheese,40,Jayo,2025-12-27,in_transit,high
SHP-00116,00-357-2313,Avocado Oil,23,Quamba,2025-12-27,in_transit,urgent
SHP-00120,53-080-8252,Sourdough Bread,21,Thoughtstorm,2025-12-27,in_transit,high
SHP-00123,84-198-7276,Peanut Oil,65,Eidel,2025-12-27,in_transit,high
SHP-00128,97-710-2449,Rye Bread,80,Tanoodle,2025-12-27,in_transit,urgent
SHP-00130,90-492-0564,Pomegranate,56,Shuffledrive,2025-12-27,in_transit,high
SHP-00134,00-215-7434,Egg (Goose),74,Quatz,2025-12-27,in_transit,urgent
SHP-00139,72-066-4597,Broccoli,52,Zoovu,2025-12-27,in_transit,high
SHP-00144,79-400-6216,Mozzarella Cheese,13,Devpoint,2025-12-27,in_transit,urgent
SHP-00146,78-689-8958,White Tea,43,Chatterbridge,2025-12-27,in_transit,high
SHP-00147,57-562-2358,Black Coffee,76,Quamba,2025-12-27,in_transit,high
SHP-00153,99-137-1730,Bread Flour,23,Skyndu,2025-12-27,in_transit,high
SHP-00156,61-607-7622,Egg (Duck),25,Zoonoodle,2025-12-27,in_transit,high
SHP-00158,29-017-6255,Bell Pepper,17,Eimbee,2025-12-27,in_transit,high
SHP-00162,22-895-6595,Rice Flour,69,Topicblab,2025-12-27,in_transit,high
SHP-00179,28-824-9017,Trout,17,Flipbug,2025-12-27,in_transit,urgent
SHP-00180,56-668-5370,Vegetable Oil,21,Vimbo,2025-12-27,in_transit,high
SHP-00184,87-199-2743,Papaya,100,Demivee,2025-12-27,in_transit,high
SHP-00186,07-074-1196,Plum,62,Skajo,2025-12-27,in_transit,urgent
SHP-00189,84-272-0790,Blueberries,44,Eidel,2025-12-27,in_transit,high
SHP-00190,49-311-3063,Kiwi,53,Talane,2025-12-27,in_transit,high
SHP-00192,89-602-6755,Milk,26,BlogXS,2025-12-27,in_transit,high
SHP-00194,83-716-2177,Halibut,26,Linktype,2025-12-27,in_transit,high
SHP-00195,56-635-6764,Sourdough Bread,62,Avamba,2025-12-27,in_transit,urgent
SHP-00198,08-725-8156,Tilapia,10,Flipopia,2025-12-27,in_transit,high
SHP-00201,74-943-9034,White Bread,34,Tagfeed,2025-12-27,in_transit,high
SHP-00203,37-246-0018,Broccoli,76,Skilith,2025-12-27,in_transit,high
SHP-00213,94-525-6925,Rye Bread,63,Kwilith,2025-12-27,in_transit,high
SHP-00215,67-512-9754,Egg (Turkey),83,DabZ,2025-12-27,in_transit,urgent
SHP-00216,45-402-0421,Swiss Cheese,72,Quinu,2025-12-27,in_transit,high
SHP-00218,21-718-6746,Coconut,12,Eamia,2025-12-27,in_transit,high
SHP-00221,43-670-8544,Orange,22,Camido,2025-12-27,in_transit,high
SHP-00229,73-942-0508,Kale,94,Brightbean,2025-12-27,in_transit,high
SHP-00230,27-881-1177,Green Tea,99,Skalith,2025-12-27,in_transit,high
SHP-00239,88-183-5781,Whole Wheat Bread,3,Lazz,2025-12-27,in_transit,urgent
SHP-00244,20-325-1965,Coconut,13,Katz,2025-12-27,in_transit,high
SHP-00248,45-172-7012,Papaya,12,Brightbean,2025-12-27,in_transit,urgent
SHP-00250,71-074-6292,Sourdough Bread,49,Plajo,2025-12-27,in_transit,high
SHP-00251,98-909-9395,Cottage Cheese,92,Feedfire,2025-12-27,in_transit,high
SHP-00252,41-735-9837,Robusta Coffee,78,Devpulse,2025-12-27,in_transit,urgent
SHP-00265,60-550-4771,Haddock,87,Kwimbee,2025-12-27,in_transit,high
SHP-00266,88-951-9038,Black Coffee,5,Youfeed,2025-12-27,in_transit,urgent
SHP-00270,40-683-0283,White Sugar,78,Topicshots,2025-12-27,in_transit,high
SHP-00280,92-551-8504,Raw Sugar,33,Livepath,2025-12-27,in_transit,urgent
SHP-00284,26-134-9069,Whipped Cream,8,Devcast,2025-12-27,in_transit,urgent
SHP-00288,82-678-8097,Cottage Cheese,58,Feedmix,2025-12-27,in_transit,high
SHP-00291,32-987-5559,Green Tea,100,Zoovu,2025-12-27,in_transit,high
SHP-00307,12-046-2988,Corn Oil,66,Youbridge,2025-12-27,in_transit,urgent
SHP-00312,94-697-2396,Sourdough Bread,44,Zoomlounge,2025-12-27,in_transit,high
SHP-00319,44-305-1866,Butter,86,Jayo,2025-12-27,in_transit,high
SHP-00325,53-151-5726,Grapes,62,Flipopia,2025-12-27,in_transit,high
SHP-00331,30-964-2694,Peas,55,Edgeclub,2025-12-27,in_transit,high
SHP-00332,17-253-5688,Greek Yogurt,39,Shufflester,2025-12-27,in_transit,high
SHP-00335,72-810-9753,Sesame Oil,15,Yotz,2025-12-27,in_transit,urgent
SHP-00337,46-622-3434,Jasmine Rice,74,Topdrive,2025-12-27,in_transit,high
SHP-00357,61-582-7399,Apricot,74,Topiczoom,2025-12-27,in_transit,high
SHP-00360,63-162-9244,Eggplant,65,Vimbo,2025-12-27,in_transit,high
SHP-00361,91-417-0366,Grapes,100,Riffwire,2025-12-27,in_transit,high
SHP-00362,60-311-5701,Sesame Oil,97,Shuffledrive,2025-12-27,in_transit,high
SHP-00363,22-266-9291,Sardines,59,Vinder,2025-12-27,in_transit,high
SHP-00364,76-584-4790,Peanut Oil,80,Twitterwire,2025-12-27,in_transit,high
SHP-00372,56-054-8664,Lemon,69,Centimia,2025-12-27,in_transit,high
SHP-00375,83-727-0814,Basmati Rice,64,Yodo,2025-12-27,in_transit,urgent
SHP-00378,12-828-1063,Mozzarella Cheese,85,Buzzdog,2025-12-27,in_transit,high
SHP-00379,53-667-4109,Onion,42,Voolith,2025-12-27,in_transit,urgent
SHP-00380,74-404-0582,Cherry,59,Jabbersphere,2025-12-27,in_transit,high
SHP-00384,51-000-8113,Green Tea,35,Vidoo,2025-12-27,in_transit,high
SHP-00389,60-198-7050,Green Tea,54,Photobug,2025-12-27,in_transit,high
SHP-00396,86-273-9377,White Rice,20,Eimbee,2025-12-27,in_transit,urgent
SHP-00399,88-304-2855,Pineapple,33,Brainverse,2025-12-27,in_transit,high
SHP-00402,03-441-4252,Yogurt,93,Wordpedia,2025-12-27,in_transit,urgent
SHP-00411,19-854-3663,Watermelon,11,Dabjam,2025-12-27,in_transit,urgent
SHP-00421,72-970-0239,Sesame Oil,21,Divanoodle,2025-12-27,in_transit,high
SHP-00423,32-270-1385,Greek Yogurt,23,Quaxo,2025-12-27,in_transit,high
SHP-00432,57-394-4703,White Tea,36,Agivu,2025-12-27,in_transit,high
SHP-00436,96-209-1739,Evaporated Milk,75,Miboo,2025-12-27,in_transit,high
SHP-00445,53-710-7630,Rice Flour,71,Livetube,2025-12-27,in_transit,urgent
SHP-00456,85-835-3445,Egg (Goose),37,Gigashots,2025-12-27,in_transit,high
SHP-00459,80-039-1261,Strawberries,12,Skimia,2025-12-27,in_transit,urgent
SHP-00460,48-427-0551,Arabica Coffee,77,Jetpulse,2025-12-27,in_transit,urgent
SHP-00468,00-534-9775,Black Coffee,23,Tagpad,2025-12-27,in_transit,high
SHP-00471,05-425-0746,Onion,90,Gabspot,2025-12-27,in_transit,high
SHP-00481,45-317-9731,Palm Oil,78,Wordware,2025-12-27,in_transit,high
SHP-00486,27-495-1912,Potato,88,Thoughtbridge,2025-12-27,in_transit,high
SHP-00493,24-143-4957,Canola Oil,63,Katz,2025-12-27,in_transit,urgent
SHP-00501,99-048-8310,Tomato,73,Demimbu,2025-12-27,in_transit,high
SHP-00502,63-874-9747,Orange,90,Oloo,2025-12-27,in_transit,high
SHP-00507,33-378-1365,Egg (Goose),1,Tagchat,2025-12-27,in_transit,high
SHP-00509,14-115-8371,Chocolate Biscuit,70,Yakitri,2025-12-27,in_transit,high
SHP-00510,83-568-3475,Halibut,70,Camimbo,2025-12-27,in_transit,high
SHP-00516,80-020-8041,Black Rice,26,Wordware,2025-12-27,in_transit,urgent
SHP-00522,11-891-8213,Peanut Oil,47,Tagopia,2025-12-27,in_transit,high
SHP-00526,89-922-4773,Whole Wheat Flour,64,Mudo,2025-12-27,in_transit,high
SHP-00527,74-234-0628,Almond Flour,92,Shuffledrive,2025-12-27,in_transit,urgent
SHP-00536,24-975-4231,Green Beans,28,Jayo,2025-12-27,in_transit,high
SHP-00540,57-167-0669,Haddock,78,Rhybox,2025-12-27,in_transit,urgent
SHP-00541,67-984-5368,Parmesan Cheese,34,Yakidoo,2025-12-27,in_transit,high
SHP-00550,45-050-4720,Black Rice,43,Voonder,2025-12-27,in_transit,urgent
SHP-00551,87-104-0187,Whole Wheat Flour,78,Rhyloo,2025-12-27,in_transit,high
SHP-00562,21-650-9319,White Bread,95,Jazzy,2025-12-27,in_transit,high
SHP-00563,99-894-4351,White Sugar,54,Devpoint,2025-12-27,in_transit,high
SHP-00565,13-900-9016,Bell Pepper,94,Meetz,2025-12-27,in_transit,high
SHP-00567,56-937-8675,Cream,14,Trilith,2025-12-27,in_transit,high
SHP-00576,82-231-4245,Wild Rice,80,Kayveo,2025-12-27,in_transit,high
SHP-00579,22-778-3553,Cheddar Cheese,49,Quaxo,2025-12-27,in_transit,high
SHP-00580,37-610-1999,Halibut,65,Wikizz,2025-12-27,in_transit,urgent
SHP-00581,09-618-2842,White Sugar,17,Yambee,2025-12-27,in_transit,high
SHP-00587,28-044-4102,Papaya,83,Yakijo,2025-12-27,in_transit,high
SHP-00004,71-594-6552,Long Grain Rice,62,Brightbean,2025-12-28,in_transit,urgent
SHP-00006,51-469-4611,Long Grain Rice,91,Fivebridge,2025-12-28,in_transit,high
SHP-00008,75-094-1179,Rye Bread,31,Vitz,2025-12-28,in_transit,high
SHP-00013,82-041-7211,Swiss Cheese,26,Reallinks,2025-12-28,in_transit,high
SHP-00016,66-627-9752,Trout,48,Jabbertype,2025-12-28,in_transit,high
SHP-00017,78-614-4402,Green Beans,28,Gigazoom,2025-12-28,in_transit,high
SHP-00029,11-316-8405,Mango,51,Twitternation,2025-12-28,in_transit,high
SHP-00031,90-230-9767,Long Grain Rice,32,Voonyx,2025-12-28,in_transit,high
SHP-00033,70-854-6891,Sourdough Bread,90,Flashspan,2025-12-28,in_transit,high
SHP-00047,65-464-5070,Heavy Cream,73,Ntags,2025-12-28,in_transit,urgent
SHP-00054,70-815-4015,Butter Biscuit,61,Ozu,2025-12-28,in_transit,high
SHP-00055,13-844-2178,Sardines,48,Browsetype,2025-12-28,in_transit,high
SHP-00057,82-395-5070,Chocolate Biscuit,17,Vidoo,2025-12-28,in_transit,high
SHP-00062,60-343-7973,Multigrain Bread,23,Zoombox,2025-12-28,in_transit,high
SHP-00066,62-509-0666,Almond Flour,7,Brainverse,2025-12-28,in_transit,urgent
SHP-00069,31-969-4614,Arabica Coffee,6,Voomm,2025-12-28,in_transit,high
SHP-00071,61-827-4098,Cod,87,Devbug,2025-12-28,in_transit,high
SHP-00080,29-896-7926,White Rice,56,Centidel,2025-12-28,in_transit,high
SHP-00083,90-737-0044,Black Rice,97,Bubblemix,2025-12-28,in_transit,high
SHP-00086,28-840-6096,Pomegranate,48,Flipopia,2025-12-28,in_transit,urgent
SHP-00087,44-538-3366,Tuna,96,Realbridge,2025-12-28,in_transit,high
SHP-00088,51-459-5630,Sour Cream,4,Skyvu,2025-12-28,in_transit,high
SHP-00089,42-887-6557,Long Grain Rice,19,Geba,2025-12-28,in_transit,high
SHP-00093,74-845-3299,Green Tea,26,Oyoyo,2025-12-28,in_transit,high
SHP-00107,53-446-8243,Orange,4,Skipfire,2025-12-28,in_transit,high
SHP-00108,98-235-2711,Asparagus,7,Devpoint,2025-12-28,in_transit,high
SHP-00110,10-002-6494,Mango,62,Meevee,2025-12-28,in_transit,high
SHP-00125,01-439-6231,Sunflower Oil,17,Skidoo,2025-12-28,in_transit,high
SHP-00132,73-118-1117,Olive Oil,55,Layo,2025-12-28,in_transit,high
SHP-00138,87-675-1506,Strawberries,7,Skalith,2025-12-28,in_transit,high
SHP-00145,80-072-8774,Tuna,41,Viva,2025-12-28,in_transit,high
SHP-00152,44-476-0390,Lemon,56,Flashspan,2025-12-28,in_transit,high
SHP-00154,32-933-0329,Blueberries,54,Linklinks,2025-12-28,in_transit,high
SHP-00160,34-928-2775,Coconut,25,Browseblab,2025-12-28,in_transit,high
SHP-00161,57-394-1587,Bread Flour,41,Roomm,2025-12-28,in_transit,high
SHP-00163,19-214-5762,Pear,75,Gigashots,2025-12-28,in_transit,high
SHP-00164,00-963-2193,Milk,33,Thoughtsphere,2025-12-28,in_transit,high
SHP-00173,30-591-7275,Brown Rice,41,Oyondu,2025-12-28,in_transit,urgent
SHP-00174,83-763-5038,Buttermilk,54,Jatri,2025-12-28,in_transit,high
SHP-00187,94-020-6982,Tuna,27,Thoughtstorm,2025-12-28,in_transit,high
SHP-00188,55-631-7937,Greek Yogurt,90,Avamba,2025-12-28,in_transit,high
SHP-00197,65-759-3721,Butter Biscuit,67,Vipe,2025-12-28,in_transit,high
SHP-00199,15-679-3935,Grapes,87,Jabbersphere,2025-12-28,in_transit,high
SHP-00202,86-330-0214,Arabica Coffee,63,Jayo,2025-12-28,in_transit,high
SHP-00204,17-002-4721,Green Beans,5,Omba,2025-12-28,in_transit,high
SHP-00208,22-083-3347,Long Grain Rice,58,Yodoo,2025-12-28,in_transit,high
SHP-00214,08-213-2058,Sour Cream,14,Babblestorm,2025-12-28,in_transit,high
SHP-00226,02-895-7781,Coconut Sugar,76,Tagchat,2025-12-28,in_transit,high
SHP-00236,19-672-8982,Butter,67,Meembee,2025-12-28,in_transit,urgent
SHP-00237,35-299-0889,Coconut Oil,79,Gevee,2025-12-28,in_transit,high
SHP-00242,27-757-4489,Egg (Goose),68,Abatz,2025-12-28,in_transit,high
SHP-00249,30-996-2526,Green Beans,39,Izio,2025-12-28,in_transit,high
SHP-00255,99-420-3592,Butter Biscuit,94,Quatz,2025-12-28,in_transit,high
SHP-00256,38-924-3007,Peas,11,Photolist,2025-12-28,in_transit,high
SHP-00258,34-131-8805,Yogurt,28,Eimbee,2025-12-28,in_transit,high
SHP-00261,92-995-8689,Cheddar Cheese,94,Wordify,2025-12-28,in_transit,high
SHP-00264,11-922-3342,Black Coffee,32,Gabspot,2025-12-28,in_transit,high
SHP-00267,08-114-3922,Anchovies,36,Camido,2025-12-28,in_transit,high
SHP-00271,83-553-9523,Buttermilk,70,Zoombox,2025-12-28,in_transit,high
SHP-00272,46-255-3073,Tilapia,8,Vinder,2025-12-28,in_transit,high
SHP-00276,83-321-7887,Egg (Duck),72,Yombu,2025-12-28,in_transit,high
SHP-00278,21-633-8696,Coconut Sugar,73,Topiclounge,2025-12-28,in_transit,high
SHP-00299,62-100-2245,Sourdough Bread,73,Meevee,2025-12-28,in_transit,high
SHP-00308,95-356-1566,Grapes,77,Rhynyx,2025-12-28,in_transit,urgent
SHP-00310,35-621-2546,Swiss Cheese,41,Skiptube,2025-12-28,in_transit,high
SHP-00320,20-405-4865,Milk,98,Centimia,2025-12-28,in_transit,high
SHP-00321,79-428-8753,Cabbage,95,Skivee,2025-12-28,in_transit,high
SHP-00324,74-305-1263,Green Coffee,48,Photobean,2025-12-28,in_transit,high
SHP-00328,97-300-7511,Egg (Duck),61,Katz,2025-12-28,in_transit,high
SHP-00348,13-144-2169,Eggplant,11,Blogpad,2025-12-28,in_transit,high
SHP-00349,47-866-6589,Egg (Duck),69,Dynazzy,2025-12-28,in_transit,high
SHP-00350,90-343-9640,Avocado Oil,100,Dabtype,2025-12-28,in_transit,high
SHP-00358,42-674-3917,Whole Wheat Flour,47,Pixonyx,2025-12-28,in_transit,high
SHP-00359,05-899-1428,Avocado Oil,10,Dabjam,2025-12-28,in_transit,urgent
SHP-00365,82-948-2298,Kiwi,94,Topdrive,2025-12-28,in_transit,high
SHP-00374,42-495-7698,Sushi Rice,29,Latz,2025-12-28,in_transit,high
SHP-00377,44-782-1395,Raw Sugar,68,Flipopia,2025-12-28,in_transit,high
SHP-00386,74-818-3306,Spinach,98,Eabox,2025-12-28,in_transit,high
SHP-00390,95-262-6208,Black Tea,90,Devshare,2025-12-28,in_transit,urgent
SHP-00391,02-484-0206,Short Grain Rice,91,Quatz,2025-12-28,in_transit,high
SHP-00392,08-226-5155,Bell Pepper,15,Zava,2025-12-28,in_transit,high
SHP-00400,40-902-1995,Asparagus,20,Zoomzone,2025-12-28,in_transit,high
SHP-00401,50-329-3360,Wild Rice,66,Topdrive,2025-12-28,in_transit,urgent
SHP-00403,97-093-4278,Buttermilk,89,Twitterlist,2025-12-28,in_transit,high
SHP-00414,05-720-8792,Carrot,36,Linkbridge,2025-12-28,in_transit,high
SHP-00417,02-034-6209,Sour Cream,3,Yodel,2025-12-28,in_transit,high
SHP-00429,68-732-5919,Jasmine Rice,24,Eimbee,2025-12-28,in_transit,high
SHP-00442,93-014-4256,Green Beans,41,BlogXS,2025-12-28,in_transit,urgent
SHP-00443,24-989-3302,Coconut,16,Eazzy,2025-12-28,in_transit,high
SHP-00446,66-312-5511,Anchovies,76,Skipfire,2025-12-28,in_transit,high
SHP-00453,92-152-5820,Black Tea,53,Jaloo,2025-12-28,in_transit,high
SHP-00457,66-716-8221,Cheddar Cheese,35,LiveZ,2025-12-28,in_transit,high
SHP-00461,02-575-1980,Plum,32,Yambee,2025-12-28,in_transit,urgent
SHP-00462,33-670-6797,Mackerel,64,Wikido,2025-12-28,in_transit,high
SHP-00464,06-340-6856,Wild Rice,12,Podcat,2025-12-28,in_transit,high
SHP-00469,94-355-3070,Tilapia,80,Jabbercube,2025-12-28,in_transit,urgent
SHP-00472,88-807-8431,Haddock,43,Eire,2025-12-28,in_transit,urgent
SHP-00479,65-780-5622,Butter Biscuit,41,InnoZ,2025-12-28,in_transit,high
SHP-00480,45-250-4679,Bread Flour,81,Dazzlesphere,2025-12-28,in_transit,high
SHP-00490,89-388-3239,Grapes,43,Centizu,2025-12-28,in_transit,high
SHP-00491,82-931-7126,Asparagus,18,Vitz,2025-12-28,in_transit,high
SHP-00500,85-212-2729,Egg (Turkey),79,Browsecat,2025-12-28,in_transit,high
SHP-00508,71-015-9181,Pomegranate,55,Tagopia,2025-12-28,in_transit,high
SHP-00511,79-884-8810,Cucumber,29,Dabtype,2025-12-28,in_transit,urgent
SHP-00517,44-634-8292,Whole Wheat Flour,64,Quatz,2025-12-28,in_transit,high
SHP-00529,44-368-7112,Corn Oil,71,Devbug,2025-12-28,in_transit,high
SHP-00533,16-187-5729,Black Tea,84,Zoombeat,2025-12-28,in_transit,high
SHP-00535,06-655-5498,Wild Rice,52,Kayveo,2025-12-28,in_transit,high
SHP-00548,58-005-5343,Cucumber,87,Youbridge,2025-12-28,in_transit,high
SHP-00558,68-436-1268,Egg (Duck),74,Aivee,2025-12-28,in_transit,high
SHP-00561,69-578-7930,Brown Rice,31,Flipbug,2025-12-28,in_transit,high
SHP-00568,14-836-2894,Apple,92,Jabbersphere,2025-12-28,in_transit,high
SHP-00572,34-538-1180,Sour Cream,80,Voonder,2025-12-28,in_transit,high
SHP-00574,38-390-2115,Potato,54,Rhyzio,2025-12-28,in_transit,high
SHP-00578,63-936-0145,Plum,72,Thoughtbeat,2025-12-28,in_transit,high
SHP-00582,55-680-0982,Green Tea,28,Jetpulse,2025-12-28,in_transit,high
SHP-00584,14-331-3739,Avocado Oil,27,Voolith,2025-12-28,in_transit,urgent
SHP-00585,28-146-2641,Parmesan Cheese,66,BlogXS,2025-12-28,in_transit,high
SHP-00001,29-205-1132,Sushi Rice,70,Jaxnation,2025-12-29,processing,high
SHP-00003,06-955-3428,Black Rice,83,Vinder,2025-12-29,processing,high
SHP-00018,40-795-0753,Raw Sugar,80,Mydo,2025-12-29,processing,high
SHP-00023,38-732-7667,Pineapple,22,Photojam,2025-12-29,processing,high
SHP-00030,43-693-2092,Butter,70,Kayveo,2025-12-29,processing,high
SHP-00042,55-697-5242,Ricotta Cheese,88,Shufflebeat,2025-12-29,processing,high
SHP-00044,87-762-1317,Mozzarella Cheese,75,Dazzlesphere,2025-12-29,processing,high
SHP-00051,39-232-5341,Arborio Rice,74,Feedmix,2025-12-29,processing,high
SHP-00053,75-080-4909,Corn Oil,15,Tagopia,2025-12-29,processing,high
SHP-00061,80-988-4653,Zucchini,85,Livetube,2025-12-29,processing,high
SHP-00067,64-478-4745,Lemon,94,Mydo,2025-12-29,processing,high
SHP-00073,36-636-4873,Black Rice,74,Wikivu,2025-12-29,processing,high
SHP-00074,98-556-5323,Pomegranate,2,Dynabox,2025-12-29,processing,high
SHP-00085,51-572-5497,Orange,88,Kanoodle,2025-12-29,processing,high
SHP-00092,88-069-5486,Cod,19,Buzzshare,2025-12-29,processing,high
SHP-00096,71-085-4290,Cucumber,72,Eire,2025-12-29,processing,high
SHP-00103,24-364-3341,Egg (Turkey),63,Topiclounge,2025-12-29,processing,high
SHP-00111,87-097-5691,Robusta Coffee,97,Photofeed,2025-12-29,processing,high
SHP-00119,38-417-4656,White Sugar,2,Dazzlesphere,2025-12-29,processing,high
SHP-00127,70-587-1204,Black Rice,97,Reallinks,2025-12-29,processing,high
SHP-00129,51-462-0747,Lime,32,Vinder,2025-12-29,processing,high
SHP-00133,60-285-3783,Mushrooms,95,Youfeed,2025-12-29,processing,high
SHP-00136,08-703-1382,Peach,7,Wikizz,2025-12-29,processing,high
SHP-00140,31-627-6025,White Bread,64,Ozu,2025-12-29,processing,high
SHP-00157,11-745-3025,Peach,21,Oyoloo,2025-12-29,processing,high
SHP-00166,10-034-7654,Bread Flour,92,Zava,2025-12-29,processing,high
SHP-00168,94-190-5193,Carrot,50,Quinu,2025-12-29,processing,high
SHP-00171,68-977-2498,Grapes,41,Skinix,2025-12-29,processing,high
SHP-00175,62-795-7801,Palm Oil,84,Buzzshare,2025-12-29,processing,high
SHP-00185,00-440-9568,Blueberries,25,Kamba,2025-12-29,processing,high
SHP-00191,04-277-5245,Coconut Sugar,21,Bubblebox,2025-12-29,processing,high
SHP-00206,22-319-1377,White Sugar,93,Skyba,2025-12-29,processing,high
SHP-00207,57-903-6434,Tomato,15,Shuffledrive,2025-12-29,processing,high
SHP-00210,03-043-9933,Strawberries,76,Yombu,2025-12-29,processing,high
SHP-00223,73-567-6194,Whipped Cream,85,Yakitri,2025-12-29,processing,high
SHP-00232,04-293-6969,Peach,24,Linktype,2025-12-29,processing,high
SHP-00240,09-101-1740,Sushi Rice,54,Talane,2025-12-29,processing,high
SHP-00241,98-445-7372,Cod,52,Roombo,2025-12-29,processing,high
SHP-00247,09-622-7119,Haddock,99,Youtags,2025-12-29,processing,high
SHP-00253,60-343-3288,Tilapia,66,Vipe,2025-12-29,processing,high
SHP-00262,43-164-5984,Butter,35,Shuffletag,2025-12-29,processing,high
SHP-00268,51-761-6320,Egg (Goose),85,Youopia,2025-12-29,processing,high
SHP-00273,99-543-5039,Lemon,20,Livetube,2025-12-29,processing,high
SHP-00277,43-910-2342,Plum,90,Feedspan,2025-12-29,processing,high
SHP-00282,21-993-5632,Watermelon,85,Innotype,2025-12-29,processing,high
SHP-00289,21-693-8216,Corn Oil,85,Twinte,2025-12-29,processing,high
SHP-00292,71-436-5841,Cauliflower,94,Dynabox,2025-12-29,processing,high
